gta06,INT_ID,duration
1,13461602,1507
1,13461733,1260
1,13462844,1170
1,13461863,1626
1,13463408,523
1,13464614,1731
1,13461235,1563
1,13463317,942
1,13462284,1305
1,13462856,1496
1,13463183,1711
1,13463942,651
1,13462369,1479
1,13462643,809
1,13463494,402
1,13463118,1037
1,13464067,856
1,13461728,1568
1,13463420,1572
1,13463787,396
1,13462953,1334
1,13462225,1494
1,13462196,1030
1,13461403,1745
1,13463933,351
1,13462263,1543
1,13461912,1353
1,13463152,980
1,13461057,1706
1,13463537,834
1,13461623,1784
1,13464179,1029
1,13462824,690
1,13460937,1656
1,13465121,1520
1,13463771,1410
1,13464498,1536
1,13462646,1254
1,13464606,1212
1,13462931,712
1,13462564,1379
1,13463187,906
1,13464374,1344
1,13462427,1385
1,13462329,1006
1,13463652,175
1,13465538,1760
1,13464286,1220
1,13461875,1359
1,20235330,421
1,13463293,413
1,13463058,557
1,13463995,1384
1,13461635,1701
1,13463032,1190
1,13461421,1420
1,13462722,1720
1,13463288,723
1,13464758,1484
1,13462602,1322
1,13463082,1543
1,13464539,1105
2,13462931,1703
2,13463288,1792
2,13466351,1656
2,13463537,1061
2,13464606,1283
2,13462225,1753
2,13463787,1063
2,13464539,1189
2,13462643,1707
2,13463408,1592
2,13463082,1793
2,13465837,1674
2,13463494,1471
2,13465538,847
2,13464614,1685
2,13463995,1576
2,13465121,1114
2,13464286,1411
2,13464498,1487
2,20235330,865
2,13464179,1220
2,13463317,1163
2,13462427,1644
2,13463942,854
2,13465194,1740
2,13463293,1310
2,13463771,1637
2,13464067,1065
2,13463420,1799
2,13464758,1327
2,13463933,1222
2,13462844,1429
2,13463652,1250
2,13466194,1498
2,13462953,1589
2,13464374,1522
2,13462824,1588
2,13463058,1443
3,13464539,262
3,13463082,1120
3,13464758,422
3,13466520,1668
3,13465017,1491
3,13466194,1336
3,13461716,1702
3,13464662,1310
3,13464948,1365
3,13463058,1474
3,13464003,1057
3,13465194,950
3,13463995,500
3,20235330,1165
3,13462887,1664
3,13462427,1654
3,13464027,1656
3,13465538,693
3,13463652,1317
3,13464709,971
3,13463743,1213
3,13463293,1341
3,13462774,1166
3,13462931,1745
3,13464606,150
3,13463478,1326
3,13465121,423
3,13463796,1784
3,13463279,1015
3,13464498,574
3,13465109,1638
3,13466351,1497
3,13463111,1538
3,13463537,1067
3,13462283,1419
3,13463573,1448
3,13464179,532
3,13462824,1623
3,13463705,1634
3,13463771,643
3,13462225,1759
3,13462953,1308
3,13463787,1094
3,13461975,1574
3,13463494,1538
3,13464855,1209
3,13463372,1162
3,13465837,1106
3,13463420,800
3,13464067,695
3,13464254,1527
3,13463942,856
3,13463183,939
3,13463317,1173
3,13462643,1732
3,13463408,1659
3,13464771,1065
3,13462844,1439
3,13464614,772
3,13463933,1520
3,13464374,389
3,13465276,1104
3,13464286,350
4,13465121,647
4,13464771,440
4,13462887,1511
4,13463743,1053
4,13464539,940
4,13463705,1032
4,13465276,353
4,13463537,1745
4,13463478,1174
4,13465538,917
4,13464003,915
4,13465109,1027
4,13464374,896
4,13463522,1325
4,13464855,600
4,13463372,1301
4,13465231,1189
4,13463995,1184
4,13463420,1483
4,13466520,1221
4,13464004,1544
4,13464709,366
4,13464177,1784
4,13463796,1182
4,13464027,1050
4,13464067,1373
4,13464662,701
4,13464658,1512
4,13463166,1343
4,13463771,1326
4,13464254,930
4,13462504,1709
4,13463183,1622
4,13464179,1216
4,13464398,1658
4,13463279,1447
4,13466690,1394
4,13464614,563
4,13463245,1468
4,13465478,1625
4,13463111,1385
4,13464720,1632
4,13465017,877
4,13466878,1572
4,13463573,1044
4,13465194,199
4,13465571,1783
4,13465837,667
4,13463942,1534
4,13463892,1341
4,13466240,1789
4,13464498,720
4,13464948,758
4,13464606,821
4,13462891,1493
4,13464286,1034
4,13466194,890
4,13462518,1688
4,13466351,1060
4,13464758,549
4,13465313,1346
4,13463787,1772
5,13465017,464
5,13466878,1007
5,13465478,1100
5,13465538,1397
5,13464879,1434
5,13466194,792
5,13463478,1751
5,13464490,1665
5,13464003,1532
5,13466977,1481
5,13464269,1399
5,13465959,1456
5,13463245,1601
5,13464720,1107
5,13464606,1454
5,13463705,1445
5,13465276,500
5,13463743,1662
5,13465795,1557
5,13467269,1366
5,13464539,1573
5,13463447,1638
5,13464254,1062
5,13465058,1751
5,13464286,1667
5,13464662,859
5,13464658,987
5,13463166,1747
5,13464948,587
5,14036494,1797
5,13464398,1133
5,13466300,1743
5,30036276,1377
5,13467182,1396
5,13465975,1320
5,13465784,1286
5,13463892,1188
5,14243510,1422
5,13464965,1590
5,13466560,1503
5,13466241,1561
5,13465571,1258
5,13465837,569
5,13465194,654
5,13466475,1578
5,13463573,1626
5,13464614,1185
5,13466690,1207
5,13464709,986
5,13466117,1476
5,13464004,1051
5,13464758,1182
5,13466240,1264
5,13466520,1123
5,13464771,903
5,13464374,1529
5,13465567,1679
5,13463522,1458
5,13466150,1794
5,13466427,1494
5,13465894,1733
5,13466668,1687
5,13464177,1259
5,13467444,1533
5,13465109,502
5,13464498,1353
5,13466454,1393
5,13465673,1422
5,13467736,1752
5,13463801,1463
5,13464027,1180
5,13464855,744
5,13466351,962
5,13463796,1322
5,13466404,1757
5,13465121,1210
5,30029405,1637
5,13465313,821
5,13465231,664
6,13467444,1150
6,13464614,1296
6,13466690,427
6,13463573,1742
6,13465231,1458
6,13466520,257
6,13467182,1302
6,13464855,854
6,13464374,1513
6,13467736,1369
6,13465313,1615
6,13464658,1781
6,13463522,1574
6,13464662,955
6,13465109,1285
6,13468233,1789
6,13464948,1010
6,13464254,1184
6,13464758,1198
6,13466351,96
6,13464606,1441
6,13466878,625
6,13463796,1438
6,13467269,992
6,13466977,1437
6,13465121,985
6,13466454,1769
6,13465538,713
6,13464003,1642
6,13463743,1781
6,13463705,1561
6,13464539,1560
6,13465017,1135
6,13465194,765
6,13465276,614
6,13464286,1654
6,13464027,1296
6,13464004,1798
6,13463892,1595
6,13464498,1358
6,13463245,1717
6,13466194,74
6,13464709,1097
6,13465837,306
6,13464771,1014
8,13467736,1409
8,13468233,989
8,13467444,1628
8,13465538,1385
8,13467182,1782
8,13465121,1646
9,13467067,1417
9,13467269,873
9,13466878,1234
9,13468233,61
9,13467182,854
9,13465784,1731
9,13466690,1425
9,13467311,1757
9,13466240,1443
9,13466351,1769
9,13467736,481
9,13465975,1728
9,14243510,1779
9,13466427,1756
9,13466560,1477
9,13466520,1595
9,13466668,1758
9,13467485,1772
9,13466454,1327
9,13467444,700
9,13466977,995
9,30029405,1637
10,13466475,1375
10,13467444,237
10,13466427,1291
10,13467011,1771
10,13466690,488
10,13466404,1568
10,13466668,1293
10,13465231,1666
10,13466341,1797
10,30029405,1172
10,13466520,658
10,13466117,1485
10,13467485,1307
10,13465109,1787
10,13466454,862
10,13467067,952
10,13467269,79
10,13466878,297
10,13465017,1637
10,13465478,1496
10,13466844,1526
10,13467437,1539
10,13465567,1771
10,13465538,1628
10,13466560,1012
10,13465959,1549
10,13465571,1378
10,13467665,1557
10,13464948,1647
10,13467182,389
10,13465795,1643
10,13468233,876
10,13466801,1446
10,13467311,1292
10,13465194,1670
10,14243510,1314
10,13465784,1266
10,13465673,1535
10,13466977,530
10,13465837,1202
10,13464965,1729
10,13466240,978
10,13466241,1403
10,13466962,1691
10,13466194,989
10,13465975,1263
10,13466482,1709
10,13465276,1519
10,13467736,456
10,13466351,832
10,13464855,1759
10,13465313,1514
10,13466300,1716
10,14036494,1538
10,13466633,1627
11,13466194,1620
11,13466241,1562
11,13466560,1171
11,13465959,1708
11,13466351,1463
11,14036494,1697
11,13465975,1422
11,14243510,1473
11,13466454,1021
11,13467437,1698
11,13467485,1466
11,13466801,1605
11,13466117,1644
11,13467444,394
11,13467736,175
11,13466520,1289
11,30029405,1331
11,13467269,567
11,13466668,1452
11,13467665,1716
11,13466977,689
11,13466844,1685
11,13466404,1727
11,13466240,1137
11,13466427,1450
11,13467311,1451
11,13465673,1694
11,13466878,928
11,13465571,1537
11,13467067,1111
11,13466475,1534
11,13465478,1655
11,13466690,1119
11,13468233,588
11,13467182,548
11,13465784,1425
11,13466633,1786
12,13468233,1320
12,13467011,1597
12,13467311,1166
12,13467182,527
12,13466801,1272
12,13464709,1783
12,13466977,402
12,13465784,1078
12,13466630,1759
12,13466240,790
12,13466427,1103
12,13465673,1347
12,13466475,1187
12,13467437,1405
12,13467854,1718
12,13465109,1428
12,13464855,1540
12,13466150,1699
12,13466351,1147
12,13464720,1458
12,13467736,900
12,13465894,1634
12,13465231,1227
12,30029405,984
12,13466520,979
12,13464586,1768
12,13464658,1557
12,13466341,1609
12,13466668,1105
12,13467444,681
12,13466690,812
12,13466440,1770
12,13466404,1380
12,13465058,1698
12,13466117,1297
12,13467485,1191
12,13466482,1521
12,13465313,1075
12,13466633,1439
12,13466844,1352
12,13464269,1751
12,13464662,1641
12,13464879,1423
12,13464398,1703
12,13465979,1787
12,14243510,1126
12,13466454,674
12,13466194,1276
12,13466241,1215
12,13465478,1057
12,13465959,1361
12,13464490,1647
12,13464948,1420
12,13467067,833
12,13464771,1700
12,13464965,1541
12,13465276,1300
12,13467269,845
12,13465795,1455
12,13466300,1528
12,13466878,612
12,13465567,1583
12,13465017,1412
12,13465194,1451
12,13467665,1441
12,13467160,1769
12,13466962,1517
12,13465837,1053
12,13465121,1687
12,13465975,1075
12,13465571,1190
12,14036494,1350
12,13466560,824
13,13465975,928
13,13466488,1328
13,13467736,757
13,14036494,801
13,13466312,1619
13,20235156,1421
13,30029405,445
13,13465979,1309
13,13465715,1424
13,13465231,1640
13,13466351,1597
13,13466962,960
13,13466729,1413
13,13465784,1032
13,13465673,1143
13,13466240,744
13,14134889,1728
13,13467182,384
13,13467752,1229
13,13466801,715
13,13466194,1754
13,13467311,569
13,13467854,1061
13,13466300,1008
13,13467239,1448
13,13466977,298
13,13467160,1212
13,13465837,1665
13,13464403,1753
13,13465795,968
13,100,1730
13,13466241,697
13,13467163,1702
13,13466516,1501
13,13466633,923
13,13465313,1488
13,13466482,1005
13,13466440,1246
13,13468233,1177
13,14243510,829
13,13465058,1491
13,13464965,1495
13,13465567,1089
13,13467665,784
13,13465571,1144
13,13467923,1174
13,101,1675
13,13466630,1252
13,13464785,1538
13,13467011,1040
13,13466475,676
13,13466199,1687
13,13467437,816
13,13466427,592
13,13466321,1405
13,13466454,628
13,13465478,1262
13,13466878,1063
13,13467269,702
13,13466914,1272
13,13465269,1481
13,13465959,873
13,13465366,1621
13,13466560,626
13,13464879,1610
13,13467067,248
13,13467909,1411
13,13466844,795
13,13466668,573
13,13464667,1719
13,13467444,538
13,13466520,1423
13,13465179,1310
13,13466341,1089
13,13466117,779
13,13465894,1147
13,13467485,534
13,13466150,1209
13,13466245,1512
13,13464586,1722
13,13466110,1533
13,13466404,869
13,13466690,1263
14,13467269,884
14,20235156,1561
14,13465894,1280
14,13466878,1245
14,14243510,772
14,13466245,1656
14,13466150,1345
14,13465959,1007
14,13466241,861
14,13465017,1683
14,13464879,1302
14,13466962,1163
14,13466351,1779
14,13466312,1766
14,13465269,1621
14,13465109,1533
14,13466454,320
14,13466914,1460
14,13465975,721
14,30029405,630
14,13465179,1450
14,13464586,1414
14,13465979,1433
14,13466341,1255
14,13464490,1526
14,13466516,1661
14,13465231,1332
14,13466668,751
14,13465715,1564
14,13466488,1495
14,13465058,1344
14,13467437,1175
14,13467444,720
14,13466427,749
14,13466240,436
14,13466630,1405
14,13464667,1572
14,13467854,1488
14,13467239,1739
14,13467011,1243
14,13468233,1359
14,13466404,1026
14,13466110,1680
14,13466440,1416
14,13466801,918
14,13467182,566
14,13464785,1678
14,13464720,1563
14,13466300,1174
14,13467485,961
14,13465795,1101
14,13466482,1167
14,13467923,1601
14,13467736,939
14,13467752,1596
14,13465571,836
14,13466633,1085
14,13466977,437
14,13465784,724
14,13465567,1229
14,13467160,1415
14,13467665,1211
14,13465313,1180
14,13466475,833
14,13466729,1574
14,13466560,470
14,13466690,1445
14,14036494,996
14,13465366,1761
14,13466321,1576
14,13467311,936
14,13466844,998
14,13465673,993
14,13467909,1778
14,13466117,943
14,13467067,621
14,13466520,1605
14,13464658,1662
14,13465478,954
14,13464965,1187
15,13466630,932
15,14243510,299
15,13466245,1183
15,151,1784
15,13467923,1417
15,101,1363
15,13467665,1027
15,13466977,513
15,13464586,1199
15,13465366,1288
15,13465959,534
15,13466560,33
15,13464855,1749
15,13466418,1756
15,13465017,1468
15,13464398,1593
15,13465478,739
15,13466690,1521
15,13466341,782
15,13467067,437
15,13467182,642
15,13464879,1087
15,13464490,1311
15,13465784,509
15,13467160,951
15,13465569,1494
15,13467752,1398
15,13466729,1101
15,13465269,1148
15,13467909,1583
15,13466475,360
15,13466878,1321
15,13466914,987
15,13466321,1103
15,13466488,1022
15,13467736,1015
15,13465571,621
15,13466199,1363
15,13467269,960
15,13467163,1407
15,100,1598
15,13465975,392
15,13466454,172
15,13465276,1653
15,13466404,553
15,13467311,752
15,14036494,532
15,13467239,1266
15,13466427,276
15,13468233,1435
15,13466520,1681
15,13464607,1723
15,13465231,1117
15,13464403,1420
15,13467854,1304
15,13464785,1205
15,13465567,756
15,13466482,694
15,13465179,977
15,13464154,1560
15,13464965,972
15,13466516,1188
15,13465894,807
15,13463777,1766
15,13465979,960
15,13466962,699
