trip_id,stop_id,stop_sequence,INT_ID,hour,minute,seconds
39260593,14541,1,305,11,57,45
39260593,14542,2,304,11,59,31
39260594,14541,1,305,11,51,0
39260594,14542,2,304,11,52,46
39260594,14543,3,303,11,54,38
39260594,14544,4,302,11,56,13
39260594,14545,5,301,11,58,41
39260595,14541,1,305,11,44,15
39260595,14542,2,304,11,46,1
39260595,14543,3,303,11,47,53
39260595,14544,4,302,11,49,28
39260595,14545,5,301,11,51,56
39260595,14546,6,228,11,57,45
39260596,14541,1,305,11,37,30
39260596,14542,2,304,11,39,16
39260596,14543,3,303,11,41,8
39260596,14544,4,302,11,42,43
39260596,14545,5,301,11,45,11
39260596,14546,6,228,11,51,0
39260597,14541,1,305,11,30,45
39260597,14542,2,304,11,32,31
39260597,14543,3,303,11,34,23
39260597,14544,4,302,11,35,58
39260597,14545,5,301,11,38,26
39260597,14546,6,228,11,44,15
39260598,14541,1,305,11,24,0
39260598,14542,2,304,11,25,46
39260598,14543,3,303,11,27,38
39260598,14544,4,302,11,29,13
39260598,14545,5,301,11,31,41
39260598,14546,6,228,11,37,30
39260599,14541,1,305,11,17,15
39260599,14542,2,304,11,19,1
39260599,14543,3,303,11,20,53
39260599,14544,4,302,11,22,28
39260599,14545,5,301,11,24,56
39260599,14546,6,228,11,30,45
39260600,14541,1,305,11,10,30
39260600,14542,2,304,11,12,16
39260600,14543,3,303,11,14,8
39260600,14544,4,302,11,15,43
39260600,14545,5,301,11,18,11
39260600,14546,6,228,11,24,0
39260601,14541,1,305,11,3,45
39260601,14542,2,304,11,5,31
39260601,14543,3,303,11,7,23
39260601,14544,4,302,11,8,58
39260601,14545,5,301,11,11,26
39260601,14546,6,228,11,17,15
39260602,14541,1,305,8,57,15
39260602,14542,2,304,8,58,56
39260602,14543,3,303,9,0,43
39260602,14544,4,302,9,2,13
39260602,14545,5,301,9,4,36
39260602,14546,6,228,9,8,58
39260603,14541,1,305,8,52,15
39260603,14542,2,304,8,53,56
39260603,14543,3,303,8,55,43
39260603,14544,4,302,8,57,13
39260603,14545,5,301,8,59,36
39260603,14546,6,228,9,3,58
39260604,14541,1,305,8,47,15
39260604,14542,2,304,8,48,56
39260604,14543,3,303,8,50,43
39260604,14544,4,302,8,52,13
39260604,14545,5,301,8,54,36
39260604,14546,6,228,8,58,58
39260605,14541,1,305,8,42,15
39260605,14542,2,304,8,43,56
39260605,14543,3,303,8,45,43
39260605,14544,4,302,8,47,13
39260605,14545,5,301,8,49,36
39260605,14546,6,228,8,53,58
39260606,14541,1,305,8,37,15
39260606,14542,2,304,8,38,56
39260606,14543,3,303,8,40,43
39260606,14544,4,302,8,42,13
39260606,14545,5,301,8,44,36
39260606,14546,6,228,8,48,58
39260607,14541,1,305,8,32,15
39260607,14542,2,304,8,33,56
39260607,14543,3,303,8,35,43
39260607,14544,4,302,8,37,13
39260607,14545,5,301,8,39,36
39260607,14546,6,228,8,43,58
39260608,14541,1,305,8,27,15
39260608,14542,2,304,8,28,56
39260608,14543,3,303,8,30,43
39260608,14544,4,302,8,32,13
39260608,14545,5,301,8,34,36
39260608,14546,6,228,8,38,58
39260609,14541,1,305,8,22,15
39260609,14542,2,304,8,23,56
39260609,14543,3,303,8,25,43
39260609,14544,4,302,8,27,13
39260609,14545,5,301,8,29,36
39260609,14546,6,228,8,33,58
39260610,14541,1,305,8,17,15
39260610,14542,2,304,8,18,56
39260610,14543,3,303,8,20,43
39260610,14544,4,302,8,22,13
39260610,14545,5,301,8,24,36
39260610,14546,6,228,8,28,58
39260611,14541,1,305,8,12,15
39260611,14542,2,304,8,13,56
39260611,14543,3,303,8,15,43
39260611,14544,4,302,8,17,13
39260611,14545,5,301,8,19,36
39260611,14546,6,228,8,23,58
39260612,14541,1,305,8,7,15
39260612,14542,2,304,8,8,56
39260612,14543,3,303,8,10,43
39260612,14544,4,302,8,12,13
39260612,14545,5,301,8,14,36
39260612,14546,6,228,8,18,58
39260613,14541,1,305,8,2,15
39260613,14542,2,304,8,3,56
39260613,14543,3,303,8,5,43
39260613,14544,4,302,8,7,13
39260613,14545,5,301,8,9,36
39260613,14546,6,228,8,13,58
39260614,14541,1,305,7,57,15
39260614,14542,2,304,7,58,56
39260614,14543,3,303,8,0,43
39260614,14544,4,302,8,2,13
39260614,14545,5,301,8,4,36
39260614,14546,6,228,8,8,58
39260615,14541,1,305,7,52,15
39260615,14542,2,304,7,53,56
