trip_id,stop_id,stop_sequence,INT_ID,hour,minute,seconds
39260521,14541,1,305,5,45,0
39260521,14542,2,304,5,46,51
39260521,14543,3,303,5,48,48
39260521,14544,4,302,5,50,28
39260521,14545,5,301,5,53,1
39260521,14546,6,228,5,58,58
39260602,14541,1,305,8,57,15
39260602,14542,2,304,8,58,56
39260603,14541,1,305,8,52,15
39260603,14542,2,304,8,53,56
39260603,14543,3,303,8,55,43
39260603,14544,4,302,8,57,13
39260603,14545,5,301,8,59,36
39260604,14541,1,305,8,47,15
39260604,14542,2,304,8,48,56
39260604,14543,3,303,8,50,43
39260604,14544,4,302,8,52,13
39260604,14545,5,301,8,54,36
39260604,14546,6,228,8,58,58
39260605,14541,1,305,8,42,15
39260605,14542,2,304,8,43,56
39260605,14543,3,303,8,45,43
39260605,14544,4,302,8,47,13
39260605,14545,5,301,8,49,36
39260605,14546,6,228,8,53,58
39260606,14541,1,305,8,37,15
39260606,14542,2,304,8,38,56
39260606,14543,3,303,8,40,43
39260606,14544,4,302,8,42,13
39260606,14545,5,301,8,44,36
39260606,14546,6,228,8,48,58
39260607,14541,1,305,8,32,15
39260607,14542,2,304,8,33,56
39260607,14543,3,303,8,35,43
39260607,14544,4,302,8,37,13
39260607,14545,5,301,8,39,36
39260607,14546,6,228,8,43,58
39260608,14541,1,305,8,27,15
39260608,14542,2,304,8,28,56
39260608,14543,3,303,8,30,43
39260608,14544,4,302,8,32,13
39260608,14545,5,301,8,34,36
39260608,14546,6,228,8,38,58
39260609,14541,1,305,8,22,15
39260609,14542,2,304,8,23,56
39260609,14543,3,303,8,25,43
39260609,14544,4,302,8,27,13
39260609,14545,5,301,8,29,36
39260609,14546,6,228,8,33,58
39260610,14541,1,305,8,17,15
39260610,14542,2,304,8,18,56
39260610,14543,3,303,8,20,43
39260610,14544,4,302,8,22,13
39260610,14545,5,301,8,24,36
39260610,14546,6,228,8,28,58
39260611,14541,1,305,8,12,15
39260611,14542,2,304,8,13,56
39260611,14543,3,303,8,15,43
39260611,14544,4,302,8,17,13
39260611,14545,5,301,8,19,36
39260611,14546,6,228,8,23,58
39260612,14541,1,305,8,7,15
39260612,14542,2,304,8,8,56
39260612,14543,3,303,8,10,43
39260612,14544,4,302,8,12,13
39260612,14545,5,301,8,14,36
39260612,14546,6,228,8,18,58
39260613,14541,1,305,8,2,15
39260613,14542,2,304,8,3,56
39260613,14543,3,303,8,5,43
39260613,14544,4,302,8,7,13
39260613,14545,5,301,8,9,36
39260613,14546,6,228,8,13,58
39260614,14541,1,305,7,57,15
39260614,14542,2,304,7,58,56
39260614,14543,3,303,8,0,43
39260614,14544,4,302,8,2,13
39260614,14545,5,301,8,4,36
39260614,14546,6,228,8,8,58
39260615,14541,1,305,7,52,15
39260615,14542,2,304,7,53,56
39260615,14543,3,303,7,55,43
39260615,14544,4,302,7,57,13
39260615,14545,5,301,7,59,36
39260615,14546,6,228,8,3,58
39260616,14541,1,305,7,47,15
39260616,14542,2,304,7,48,56
39260616,14543,3,303,7,50,43
39260616,14544,4,302,7,52,13
39260616,14545,5,301,7,54,36
39260616,14546,6,228,7,58,58
39260617,14541,1,305,7,42,15
39260617,14542,2,304,7,43,56
39260617,14543,3,303,7,45,43
39260617,14544,4,302,7,47,13
39260617,14545,5,301,7,49,36
39260617,14546,6,228,7,53,58
39260618,14541,1,305,7,37,15
39260618,14542,2,304,7,38,56
39260618,14543,3,303,7,40,43
39260618,14544,4,302,7,42,13
39260618,14545,5,301,7,44,36
39260618,14546,6,228,7,48,58
39260619,14541,1,305,7,32,15
39260619,14542,2,304,7,33,56
39260619,14543,3,303,7,35,43
39260619,14544,4,302,7,37,13
39260619,14545,5,301,7,39,36
39260619,14546,6,228,7,43,58
39260620,14541,1,305,7,27,15
39260620,14542,2,304,7,28,56
39260620,14543,3,303,7,30,43
39260620,14544,4,302,7,32,13
39260620,14545,5,301,7,34,36
39260620,14546,6,228,7,38,58
