trip_id,stop_id,stop_sequence,INT_ID,hour,minute,seconds
39260479,14541,1,305,20,40,0
39260479,14542,2,304,20,41,46
39260479,14543,3,303,20,43,38
39260479,14544,4,302,20,45,13
39260479,14545,5,301,20,47,41
39260479,14546,6,228,20,53,30
39260480,14541,1,305,20,46,30
39260480,14542,2,304,20,48,16
39260480,14543,3,303,20,50,8
39260480,14544,4,302,20,51,43
39260480,14545,5,301,20,54,11
39260480,14546,6,228,21,0,0
39260481,14541,1,305,20,53,15
39260481,14542,2,304,20,55,1
39260481,14543,3,303,20,56,53
39260481,14544,4,302,20,58,28
39260481,14545,5,301,21,0,56
39260481,14546,6,228,21,6,45
39260482,14541,1,305,21,0,0
39260482,14542,2,304,21,1,46
39260482,14543,3,303,21,3,38
39260482,14544,4,302,21,5,13
39260482,14545,5,301,21,7,41
39260482,14546,6,228,21,13,30
39260483,14541,1,305,21,6,45
39260483,14542,2,304,21,8,31
39260483,14543,3,303,21,10,23
39260483,14544,4,302,21,11,58
39260483,14545,5,301,21,14,26
39260483,14546,6,228,21,20,15
39260484,14541,1,305,21,13,30
39260484,14542,2,304,21,15,16
39260484,14543,3,303,21,17,8
39260484,14544,4,302,21,18,43
39260484,14545,5,301,21,21,11
39260484,14546,6,228,21,27,0
39260485,14541,1,305,21,20,15
39260485,14542,2,304,21,22,1
39260485,14543,3,303,21,23,53
39260485,14544,4,302,21,25,28
39260485,14545,5,301,21,27,56
39260485,14546,6,228,21,33,45
39260486,14541,1,305,21,27,0
39260486,14542,2,304,21,28,46
39260486,14543,3,303,21,30,38
39260486,14544,4,302,21,32,13
39260486,14545,5,301,21,34,41
39260486,14546,6,228,21,40,30
39260487,14541,1,305,21,33,45
39260487,14542,2,304,21,35,31
39260487,14543,3,303,21,37,23
39260487,14544,4,302,21,38,58
39260487,14545,5,301,21,41,26
39260487,14546,6,228,21,47,15
39260488,14541,1,305,21,40,30
39260488,14542,2,304,21,42,16
39260488,14543,3,303,21,44,8
39260488,14544,4,302,21,45,43
39260488,14545,5,301,21,48,11
39260488,14546,6,228,21,54,0
39260489,14541,1,305,21,47,15
39260489,14542,2,304,21,49,1
39260489,14543,3,303,21,50,53
39260489,14544,4,302,21,52,28
39260489,14545,5,301,21,54,56
39260489,14546,6,228,22,0,45
39260490,14541,1,305,21,54,0
39260490,14542,2,304,21,55,46
39260490,14543,3,303,21,57,38
39260490,14544,4,302,21,59,13
39260490,14545,5,301,22,1,41
39260490,14546,6,228,22,7,30
39260491,14541,1,305,22,0,45
39260491,14542,2,304,22,2,31
39260491,14543,3,303,22,4,23
39260491,14544,4,302,22,5,58
39260491,14545,5,301,22,8,26
39260491,14546,6,228,22,14,15
39260492,14541,1,305,22,7,30
39260492,14542,2,304,22,9,16
39260492,14543,3,303,22,11,8
39260492,14544,4,302,22,12,43
39260492,14545,5,301,22,15,11
39260492,14546,6,228,22,21,0
39260493,14541,1,305,22,14,15
39260493,14542,2,304,22,16,1
39260493,14543,3,303,22,17,53
39260493,14544,4,302,22,19,28
39260493,14545,5,301,22,21,56
39260493,14546,6,228,22,27,45
39260494,14541,1,305,22,21,0
39260494,14542,2,304,22,22,46
39260494,14543,3,303,22,24,38
39260494,14544,4,302,22,26,13
39260494,14545,5,301,22,28,41
39260494,14546,6,228,22,34,30
39260495,14541,1,305,22,27,45
39260495,14542,2,304,22,29,31
39260495,14543,3,303,22,31,23
39260495,14544,4,302,22,32,58
39260495,14545,5,301,22,35,26
39260495,14546,6,228,22,41,15
39260496,14541,1,305,22,34,30
39260496,14542,2,304,22,36,16
39260496,14543,3,303,22,38,8
39260496,14544,4,302,22,39,43
39260496,14545,5,301,22,42,11
39260496,14546,6,228,22,48,0
39260497,14541,1,305,22,41,15
39260497,14542,2,304,22,43,1
39260497,14543,3,303,22,44,53
39260497,14544,4,302,22,46,28
39260497,14545,5,301,22,48,56
39260497,14546,6,228,22,54,45
39260498,14541,1,305,22,48,0
39260498,14542,2,304,22,49,46
39260498,14543,3,303,22,51,38
39260498,14544,4,302,22,53,13
39260498,14545,5,301,22,55,41
39260498,14546,6,228,23,1,30
39260499,14541,1,305,22,54,45
39260499,14542,2,304,22,56,31
39260499,14543,3,303,22,58,23
39260499,14544,4,302,22,59,58
39260499,14545,5,301,23,2,26
39260499,14546,6,228,23,8,15
39260500,14541,1,305,23,1,30
39260500,14542,2,304,23,3,16
39260500,14543,3,303,23,5,8
39260500,14544,4,302,23,6,43
39260500,14545,5,301,23,9,11
39260500,14546,6,228,23,15,0
39260501,14541,1,305,23,8,15
39260501,14542,2,304,23,10,1
39260501,14543,3,303,23,11,53
39260501,14544,4,302,23,13,28
39260501,14545,5,301,23,15,56
39260501,14546,6,228,23,21,45
39260502,14541,1,305,23,15,0
39260502,14542,2,304,23,16,46
39260502,14543,3,303,23,18,38
39260502,14544,4,302,23,20,13
39260502,14545,5,301,23,22,41
39260502,14546,6,228,23,28,30
39260503,14541,1,305,23,21,45
39260503,14542,2,304,23,23,31
39260503,14543,3,303,23,25,23
39260503,14544,4,302,23,26,58
39260503,14545,5,301,23,29,26
39260503,14546,6,228,23,35,15
39260504,14541,1,305,23,28,30
39260504,14542,2,304,23,30,16
39260504,14543,3,303,23,32,8
39260504,14544,4,302,23,33,43
39260504,14545,5,301,23,36,11
39260504,14546,6,228,23,42,0
39260505,14541,1,305,23,35,15
39260505,14542,2,304,23,37,1
39260505,14543,3,303,23,38,53
39260505,14544,4,302,23,40,28
39260505,14545,5,301,23,42,56
39260505,14546,6,228,23,48,45
39260506,14541,1,305,23,42,0
39260506,14542,2,304,23,43,46
39260506,14543,3,303,23,45,38
39260506,14544,4,302,23,47,13
39260506,14545,5,301,23,49,41
39260506,14546,6,228,23,55,30
39260507,14541,1,305,23,48,45
39260507,14542,2,304,23,50,31
39260507,14543,3,303,23,52,23
39260507,14544,4,302,23,53,58
39260507,14545,5,301,23,56,26
39260507,14546,6,228,0,2,15
39260508,14541,1,305,23,55,30
39260508,14542,2,304,23,57,16
39260508,14543,3,303,23,59,8
39260508,14544,4,302,0,0,43
