trip_id,stop_id,stop_sequence,INT_ID,hour,minute,seconds
39260555,14541,1,305,15,55,0
39260555,14542,2,304,15,56,41
39260555,14543,3,303,15,58,28
39260555,14544,4,302,15,59,58
39260556,14541,1,305,15,50,0
39260556,14542,2,304,15,51,41
39260556,14543,3,303,15,53,28
39260556,14544,4,302,15,54,58
39260556,14545,5,301,15,57,21
39260557,14541,1,305,15,45,0
39260557,14542,2,304,15,46,41
39260557,14543,3,303,15,48,28
39260557,14544,4,302,15,49,58
39260557,14545,5,301,15,52,21
39260557,14546,6,228,15,56,43
39260558,14541,1,305,15,40,0
39260558,14542,2,304,15,41,41
39260558,14543,3,303,15,43,28
39260558,14544,4,302,15,44,58
39260558,14545,5,301,15,47,21
39260558,14546,6,228,15,51,43
39260559,14541,1,305,15,35,0
39260559,14542,2,304,15,36,41
39260559,14543,3,303,15,38,28
39260559,14544,4,302,15,39,58
39260559,14545,5,301,15,42,21
39260559,14546,6,228,15,46,43
39260560,14541,1,305,15,30,0
39260560,14542,2,304,15,31,41
39260560,14543,3,303,15,33,28
39260560,14544,4,302,15,34,58
39260560,14545,5,301,15,37,21
39260560,14546,6,228,15,41,43
39260561,14541,1,305,15,25,0
39260561,14542,2,304,15,26,41
39260561,14543,3,303,15,28,28
39260561,14544,4,302,15,29,58
39260561,14545,5,301,15,32,21
39260561,14546,6,228,15,36,43
39260562,14541,1,305,15,20,0
39260562,14542,2,304,15,21,41
39260562,14543,3,303,15,23,28
39260562,14544,4,302,15,24,58
39260562,14545,5,301,15,27,21
39260562,14546,6,228,15,31,43
39260563,14541,1,305,15,15,0
39260563,14542,2,304,15,16,41
39260563,14543,3,303,15,18,28
39260563,14544,4,302,15,19,58
39260563,14545,5,301,15,22,21
39260563,14546,6,228,15,26,43
39260564,14541,1,305,15,10,0
39260564,14542,2,304,15,11,41
39260564,14543,3,303,15,13,28
39260564,14544,4,302,15,14,58
39260564,14545,5,301,15,17,21
39260564,14546,6,228,15,21,43
39260565,14541,1,305,15,5,0
39260565,14542,2,304,15,6,41
39260565,14543,3,303,15,8,28
39260565,14544,4,302,15,9,58
39260565,14545,5,301,15,12,21
39260565,14546,6,228,15,16,43
39260566,14541,1,305,15,0,0
39260566,14542,2,304,15,1,41
39260566,14543,3,303,15,3,28
39260566,14544,4,302,15,4,58
39260566,14545,5,301,15,7,21
39260566,14546,6,228,15,11,43
39260567,14541,1,305,14,53,15
39260567,14542,2,304,14,55,1
39260567,14543,3,303,14,56,53
39260567,14544,4,302,14,58,28
39260567,14545,5,301,15,0,56
39260567,14546,6,228,15,6,45
39260568,14541,1,305,14,46,30
39260568,14542,2,304,14,48,16
39260568,14543,3,303,14,50,8
39260568,14544,4,302,14,51,43
39260568,14545,5,301,14,54,11
39260568,14546,6,228,15,0,0
39260569,14541,1,305,14,39,45
39260569,14542,2,304,14,41,31
39260569,14543,3,303,14,43,23
39260569,14544,4,302,14,44,58
39260569,14545,5,301,14,47,26
39260569,14546,6,228,14,53,15
39260570,14541,1,305,14,33,0
39260570,14542,2,304,14,34,46
39260570,14543,3,303,14,36,38
39260570,14544,4,302,14,38,13
39260570,14545,5,301,14,40,41
39260570,14546,6,228,14,46,30
39260571,14541,1,305,14,26,15
39260571,14542,2,304,14,28,1
39260571,14543,3,303,14,29,53
39260571,14544,4,302,14,31,28
39260571,14545,5,301,14,33,56
39260571,14546,6,228,14,39,45
39260572,14541,1,305,14,19,30
39260572,14542,2,304,14,21,16
39260572,14543,3,303,14,23,8
39260572,14544,4,302,14,24,43
39260572,14545,5,301,14,27,11
39260572,14546,6,228,14,33,0
39260573,14541,1,305,14,12,45
39260573,14542,2,304,14,14,31
39260573,14543,3,303,14,16,23
39260573,14544,4,302,14,17,58
39260573,14545,5,301,14,20,26
39260573,14546,6,228,14,26,15
39260574,14541,1,305,14,6,0
39260574,14542,2,304,14,7,46
39260574,14543,3,303,14,9,38
39260574,14544,4,302,14,11,13
39260574,14545,5,301,14,13,41
39260574,14546,6,228,14,19,30
39260575,14541,1,305,13,59,15
39260575,14542,2,304,14,1,1
39260575,14543,3,303,14,2,53
39260575,14544,4,302,14,4,28
39260575,14545,5,301,14,6,56
39260575,14546,6,228,14,12,45
39260576,14541,1,305,13,52,30
39260576,14542,2,304,13,54,16
39260576,14543,3,303,13,56,8
39260576,14544,4,302,13,57,43
39260576,14545,5,301,14,0,11
39260576,14546,6,228,14,6,0
39260577,14541,1,305,13,45,45
39260577,14542,2,304,13,47,31
39260577,14543,3,303,13,49,23
39260577,14544,4,302,13,50,58
39260577,14545,5,301,13,53,26
39260577,14546,6,228,13,59,15
39260578,14541,1,305,13,39,0
39260578,14542,2,304,13,40,46
39260578,14543,3,303,13,42,38
39260578,14544,4,302,13,44,13
39260578,14545,5,301,13,46,41
39260578,14546,6,228,13,52,30
39260579,14541,1,305,13,32,15
39260579,14542,2,304,13,34,1
39260579,14543,3,303,13,35,53
39260579,14544,4,302,13,37,28
39260579,14545,5,301,13,39,56
39260579,14546,6,228,13,45,45
39260580,14541,1,305,13,25,30
39260580,14542,2,304,13,27,16
39260580,14543,3,303,13,29,8
39260580,14544,4,302,13,30,43
39260580,14545,5,301,13,33,11
39260580,14546,6,228,13,39,0
39260581,14541,1,305,13,18,45
39260581,14542,2,304,13,20,31
39260581,14543,3,303,13,22,23
39260581,14544,4,302,13,23,58
39260581,14545,5,301,13,26,26
39260581,14546,6,228,13,32,15
39260582,14541,1,305,13,12,0
39260582,14542,2,304,13,13,46
39260582,14543,3,303,13,15,38
39260582,14544,4,302,13,17,13
39260582,14545,5,301,13,19,41
39260582,14546,6,228,13,25,30
39260583,14541,1,305,13,5,15
39260583,14542,2,304,13,7,1
39260583,14543,3,303,13,8,53
39260583,14544,4,302,13,10,28
39260583,14545,5,301,13,12,56
39260583,14546,6,228,13,18,45
39260584,14541,1,305,12,58,30
39260584,14542,2,304,13,0,16
39260584,14543,3,303,13,2,8
39260584,14544,4,302,13,3,43
39260584,14545,5,301,13,6,11
39260584,14546,6,228,13,12,0
39260585,14541,1,305,12,51,45
39260585,14542,2,304,12,53,31
39260585,14543,3,303,12,55,23
39260585,14544,4,302,12,56,58
39260585,14545,5,301,12,59,26
39260585,14546,6,228,13,5,15
39260586,14541,1,305,12,45,0
39260586,14542,2,304,12,46,46
39260586,14543,3,303,12,48,38
39260586,14544,4,302,12,50,13
39260586,14545,5,301,12,52,41
39260586,14546,6,228,12,58,30
39260587,14541,1,305,12,38,15
39260587,14542,2,304,12,40,1
39260587,14543,3,303,12,41,53
39260587,14544,4,302,12,43,28
39260587,14545,5,301,12,45,56
39260587,14546,6,228,12,51,45
39260588,14541,1,305,12,31,30
39260588,14542,2,304,12,33,16
39260588,14543,3,303,12,35,8
39260588,14544,4,302,12,36,43
39260588,14545,5,301,12,39,11
39260588,14546,6,228,12,45,0
39260589,14541,1,305,12,24,45
39260589,14542,2,304,12,26,31
39260589,14543,3,303,12,28,23
39260589,14544,4,302,12,29,58
39260589,14545,5,301,12,32,26
39260589,14546,6,228,12,38,15
39260590,14541,1,305,12,18,0
39260590,14542,2,304,12,19,46
39260590,14543,3,303,12,21,38
39260590,14544,4,302,12,23,13
39260590,14545,5,301,12,25,41
39260590,14546,6,228,12,31,30
39260591,14541,1,305,12,11,15
39260591,14542,2,304,12,13,1
39260591,14543,3,303,12,14,53
39260591,14544,4,302,12,16,28
39260591,14545,5,301,12,18,56
39260591,14546,6,228,12,24,45
39260592,14541,1,305,12,4,30
39260592,14542,2,304,12,6,16
39260592,14543,3,303,12,8,8
39260592,14544,4,302,12,9,43
39260592,14545,5,301,12,12,11
39260592,14546,6,228,12,18,0
39260593,14541,1,305,11,57,45
39260593,14542,2,304,11,59,31
39260593,14543,3,303,12,1,23
39260593,14544,4,302,12,2,58
39260593,14545,5,301,12,5,26
39260593,14546,6,228,12,11,15
39260594,14541,1,305,11,51,0
39260594,14542,2,304,11,52,46
39260594,14543,3,303,11,54,38
39260594,14544,4,302,11,56,13
39260594,14545,5,301,11,58,41
39260594,14546,6,228,12,4,30
39260595,14541,1,305,11,44,15
39260595,14542,2,304,11,46,1
39260595,14543,3,303,11,47,53
39260595,14544,4,302,11,49,28
39260595,14545,5,301,11,51,56
39260595,14546,6,228,11,57,45
39260596,14541,1,305,11,37,30
39260596,14542,2,304,11,39,16
39260596,14543,3,303,11,41,8
39260596,14544,4,302,11,42,43
39260596,14545,5,301,11,45,11
39260596,14546,6,228,11,51,0
39260597,14541,1,305,11,30,45
39260597,14542,2,304,11,32,31
39260597,14543,3,303,11,34,23
39260597,14544,4,302,11,35,58
39260597,14545,5,301,11,38,26
39260597,14546,6,228,11,44,15
39260598,14541,1,305,11,24,0
39260598,14542,2,304,11,25,46
39260598,14543,3,303,11,27,38
39260598,14544,4,302,11,29,13
39260598,14545,5,301,11,31,41
39260598,14546,6,228,11,37,30
39260599,14541,1,305,11,17,15
39260599,14542,2,304,11,19,1
39260599,14543,3,303,11,20,53
39260599,14544,4,302,11,22,28
39260599,14545,5,301,11,24,56
39260599,14546,6,228,11,30,45
39260600,14541,1,305,11,10,30
39260600,14542,2,304,11,12,16
39260600,14543,3,303,11,14,8
39260600,14544,4,302,11,15,43
39260600,14545,5,301,11,18,11
