trip_id,stop_id,stop_sequence,INT_ID,hour,minute,seconds
39260478,14541,1,305,18,45,0
39260478,14542,2,304,18,46,41
39260478,14543,3,303,18,48,28
39260478,14544,4,302,18,49,58
39260478,14545,5,301,18,52,21
39260478,14546,6,228,18,56,43
39260479,14541,1,305,20,40,0
39260479,14542,2,304,20,41,46
39260479,14543,3,303,20,43,38
39260479,14544,4,302,20,45,13
39260479,14545,5,301,20,47,41
39260479,14546,6,228,20,53,30
39260480,14541,1,305,20,46,30
39260480,14542,2,304,20,48,16
39260480,14543,3,303,20,50,8
39260480,14544,4,302,20,51,43
39260480,14545,5,301,20,54,11
39260480,14546,6,228,21,0,0
39260481,14541,1,305,20,53,15
39260481,14542,2,304,20,55,1
39260481,14543,3,303,20,56,53
39260481,14544,4,302,20,58,28
39260481,14545,5,301,21,0,56
39260481,14546,6,228,21,6,45
39260482,14541,1,305,21,0,0
39260482,14542,2,304,21,1,46
39260482,14543,3,303,21,3,38
39260482,14544,4,302,21,5,13
39260482,14545,5,301,21,7,41
39260482,14546,6,228,21,13,30
39260483,14541,1,305,21,6,45
39260483,14542,2,304,21,8,31
39260483,14543,3,303,21,10,23
39260483,14544,4,302,21,11,58
39260483,14545,5,301,21,14,26
39260483,14546,6,228,21,20,15
39260484,14541,1,305,21,13,30
39260484,14542,2,304,21,15,16
39260484,14543,3,303,21,17,8
39260484,14544,4,302,21,18,43
39260484,14545,5,301,21,21,11
39260484,14546,6,228,21,27,0
39260485,14541,1,305,21,20,15
39260485,14542,2,304,21,22,1
39260485,14543,3,303,21,23,53
39260485,14544,4,302,21,25,28
39260485,14545,5,301,21,27,56
39260485,14546,6,228,21,33,45
39260486,14541,1,305,21,27,0
39260486,14542,2,304,21,28,46
39260486,14543,3,303,21,30,38
39260486,14544,4,302,21,32,13
39260486,14545,5,301,21,34,41
39260486,14546,6,228,21,40,30
39260487,14541,1,305,21,33,45
39260487,14542,2,304,21,35,31
39260487,14543,3,303,21,37,23
39260487,14544,4,302,21,38,58
39260487,14545,5,301,21,41,26
39260487,14546,6,228,21,47,15
39260488,14541,1,305,21,40,30
39260488,14542,2,304,21,42,16
39260488,14543,3,303,21,44,8
39260488,14544,4,302,21,45,43
39260488,14545,5,301,21,48,11
39260488,14546,6,228,21,54,0
39260489,14541,1,305,21,47,15
39260489,14542,2,304,21,49,1
39260489,14543,3,303,21,50,53
39260489,14544,4,302,21,52,28
39260489,14545,5,301,21,54,56
39260490,14541,1,305,21,54,0
39260490,14542,2,304,21,55,46
39260490,14543,3,303,21,57,38
39260490,14544,4,302,21,59,13
39260522,14541,1,305,18,40,0
39260522,14542,2,304,18,41,41
39260522,14543,3,303,18,43,28
39260522,14544,4,302,18,44,58
39260522,14545,5,301,18,47,21
39260522,14546,6,228,18,51,43
39260523,14541,1,305,18,35,0
39260523,14542,2,304,18,36,41
39260523,14543,3,303,18,38,28
39260523,14544,4,302,18,39,58
39260523,14545,5,301,18,42,21
39260523,14546,6,228,18,46,43
39260524,14541,1,305,18,30,0
39260524,14542,2,304,18,31,41
39260524,14543,3,303,18,33,28
39260524,14544,4,302,18,34,58
39260524,14545,5,301,18,37,21
39260524,14546,6,228,18,41,43
39260525,14541,1,305,18,25,0
39260525,14542,2,304,18,26,41
39260525,14543,3,303,18,28,28
39260525,14544,4,302,18,29,58
39260525,14545,5,301,18,32,21
39260525,14546,6,228,18,36,43
39260526,14541,1,305,18,20,0
39260526,14542,2,304,18,21,41
39260526,14543,3,303,18,23,28
39260526,14544,4,302,18,24,58
39260526,14545,5,301,18,27,21
39260526,14546,6,228,18,31,43
39260527,14541,1,305,18,15,0
39260527,14542,2,304,18,16,41
39260527,14543,3,303,18,18,28
39260527,14544,4,302,18,19,58
39260527,14545,5,301,18,22,21
39260527,14546,6,228,18,26,43
39260528,14541,1,305,18,10,0
39260528,14542,2,304,18,11,41
39260528,14543,3,303,18,13,28
39260528,14544,4,302,18,14,58
39260528,14545,5,301,18,17,21
39260528,14546,6,228,18,21,43
39260529,14541,1,305,18,5,0
39260529,14542,2,304,18,6,41
39260529,14543,3,303,18,8,28
39260529,14544,4,302,18,9,58
39260529,14545,5,301,18,12,21
39260529,14546,6,228,18,16,43
39260530,14541,1,305,18,0,0
39260530,14542,2,304,18,1,41
39260530,14543,3,303,18,3,28
39260530,14544,4,302,18,4,58
39260530,14545,5,301,18,7,21
39260530,14546,6,228,18,11,43
39260531,14541,1,305,17,55,0
39260531,14542,2,304,17,56,41
39260531,14543,3,303,17,58,28
39260531,14544,4,302,17,59,58
39260531,14545,5,301,18,2,21
39260531,14546,6,228,18,6,43
39260532,14541,1,305,17,50,0
39260532,14542,2,304,17,51,41
39260532,14543,3,303,17,53,28
39260532,14544,4,302,17,54,58
39260532,14545,5,301,17,57,21
39260532,14546,6,228,18,1,43
39260533,14541,1,305,17,45,0
39260533,14542,2,304,17,46,41
39260533,14543,3,303,17,48,28
39260533,14544,4,302,17,49,58
39260533,14545,5,301,17,52,21
39260533,14546,6,228,17,56,43
39260534,14541,1,305,17,40,0
39260534,14542,2,304,17,41,41
39260534,14543,3,303,17,43,28
39260534,14544,4,302,17,44,58
39260534,14545,5,301,17,47,21
39260534,14546,6,228,17,51,43
39260535,14541,1,305,17,35,0
39260535,14542,2,304,17,36,41
39260535,14543,3,303,17,38,28
39260535,14544,4,302,17,39,58
39260535,14545,5,301,17,42,21
39260535,14546,6,228,17,46,43
39260536,14541,1,305,17,30,0
39260536,14542,2,304,17,31,41
39260536,14543,3,303,17,33,28
39260536,14544,4,302,17,34,58
39260536,14545,5,301,17,37,21
39260536,14546,6,228,17,41,43
39260537,14541,1,305,17,25,0
39260537,14542,2,304,17,26,41
39260537,14543,3,303,17,28,28
39260537,14544,4,302,17,29,58
39260537,14545,5,301,17,32,21
39260537,14546,6,228,17,36,43
39260538,14541,1,305,17,20,0
39260538,14542,2,304,17,21,41
39260538,14543,3,303,17,23,28
39260538,14544,4,302,17,24,58
39260538,14545,5,301,17,27,21
39260538,14546,6,228,17,31,43
39260539,14541,1,305,17,15,0
39260539,14542,2,304,17,16,41
39260539,14543,3,303,17,18,28
39260539,14544,4,302,17,19,58
39260539,14545,5,301,17,22,21
39260539,14546,6,228,17,26,43
39260540,14541,1,305,17,10,0
