index,station1,station2,platform1_end_time_left,platform2_start_time_left,year,month,day,hour,date,dow,period,platform1_end_time_right,platform2_start_time_right,gap,train_id
291,lawrence_east,kennedy,2019-12-13 10:57:23.109000-05:00,2019-12-13 11:02:35.757000-05:00,2019,12,13,10,2019-12-13,4,AM,2019-12-13 11:05:51.647000-05:00,2019-12-13 11:10:13.571000-05:00,457,52
264,lawrence_east,kennedy,2019-12-20 10:49:26.269000-05:00,2019-12-20 10:54:01.511000-05:00,2019,12,20,10,2019-12-20,4,AM,2019-12-20 11:01:08.020000-05:00,2019-12-20 11:05:14.295000-05:00,672,48
177,lawrence_east,kennedy,2019-12-30 10:15:38.418000-05:00,2019-12-30 10:20:13.620000-05:00,2019,12,30,10,2019-12-30,0,AM,2019-12-30 10:26:59.525000-05:00,2019-12-30 10:31:02.746000-05:00,649,42
181,lawrence_east,kennedy,2019-12-30 10:31:45.791000-05:00,2019-12-30 10:35:56.053000-05:00,2019,12,30,10,2019-12-30,0,AM,2019-12-30 10:38:56.322000-05:00,2019-12-30 10:44:37.715000-05:00,521,45
192,lawrence_east,kennedy,2019-12-30 11:06:40.813000-05:00,2019-12-30 11:11:32.463000-05:00,2019,12,30,11,2019-12-30,0,AM,2019-12-30 11:17:11.925000-05:00,2019-12-30 11:21:19.876000-05:00,587,51
193,lawrence_east,kennedy,2019-12-30 11:17:11.925000-05:00,2019-12-30 11:21:19.876000-05:00,2019,12,30,11,2019-12-30,0,AM,2019-12-30 11:27:11.557000-05:00,2019-12-30 11:31:25.946000-05:00,606,52
198,lawrence_east,kennedy,2019-12-30 11:31:33.401000-05:00,2019-12-30 11:38:10.337000-05:00,2019,12,30,11,2019-12-30,0,AM,2019-12-30 11:43:51.302000-05:00,2019-12-30 11:48:18.731000-05:00,608,55
309,lawrence_east,kennedy,2019-12-10 10:33:58.049000-05:00,2019-12-10 10:40:46.768000-05:00,2019,12,10,10,2019-12-10,1,AM,2019-12-10 10:42:42.106000-05:00,2019-12-10 10:48:22.282000-05:00,455,45
332,lawrence_east,kennedy,2019-12-10 11:16:41.293000-05:00,2019-12-10 11:21:10.243000-05:00,2019,12,10,11,2019-12-10,1,AM,2019-12-10 11:21:27.497000-05:00,2019-12-10 11:28:43.120000-05:00,452,52
353,lawrence_east,kennedy,2019-12-10 11:57:58.568000-05:00,2019-12-10 12:01:43.442000-05:00,2019,12,10,11,2019-12-10,1,AM,2019-12-10 11:59:01.336000-05:00,2019-12-10 12:09:23.611000-05:00,460,58
302,lawrence_east,kennedy,2019-12-03 10:08:32.819000-05:00,2019-12-03 10:13:22.436000-05:00,2019,12,3,10,2019-12-03,1,AM,2019-12-03 10:17:25.973000-05:00,2019-12-03 10:21:32.965000-05:00,490,38
370,lawrence_east,kennedy,2019-12-03 11:44:23.509000-05:00,2019-12-03 11:50:03.290000-05:00,2019,12,3,11,2019-12-03,1,AM,2019-12-03 11:53:08.895000-05:00,2019-12-03 11:57:41.194000-05:00,457,55
276,lawrence_east,kennedy,2019-12-11 09:58:16.019000-05:00,2019-12-11 10:05:49.709000-05:00,2019,12,11,9,2019-12-11,2,AM,2019-12-11 10:06:05.398000-05:00,2019-12-11 10:14:10.860000-05:00,501,38
335,lawrence_east,kennedy,2019-12-06 11:26:49.309000-05:00,2019-12-06 11:33:35.148000-05:00,2019,12,6,11,2019-12-06,4,AM,2019-12-06 11:30:56.326000-05:00,2019-12-06 11:41:27.965000-05:00,472,54
60,lawrence_east,kennedy,2019-12-17 07:42:10.478000-05:00,2019-12-17 07:51:40.019000-05:00,2019,12,17,7,2019-12-17,1,AM,2019-12-17 07:53:28.843000-05:00,2019-12-17 07:59:11.912000-05:00,451,10
307,lawrence_east,kennedy,2019-12-05 10:14:35.798000-05:00,2019-12-05 10:20:38.908000-05:00,2019,12,5,10,2019-12-05,3,AM,2019-12-05 10:26:33.995000-05:00,2019-12-05 10:30:03.613000-05:00,564,39
319,lawrence_east,kennedy,2019-12-04 10:35:01.416000-05:00,2019-12-04 10:43:32.384000-05:00,2019,12,4,10,2019-12-04,2,AM,2019-12-04 10:44:30.580000-05:00,2019-12-04 10:54:51.018000-05:00,678,40
336,lawrence_east,kennedy,2019-12-04 11:04:12.147000-05:00,2019-12-04 11:10:25.777000-05:00,2019,12,4,11,2019-12-04,2,AM,2019-12-04 11:15:08.781000-05:00,2019-12-04 11:19:07.269000-05:00,521,44
351,lawrence_east,kennedy,2019-12-04 11:31:41.006000-05:00,2019-12-04 11:38:28.136000-05:00,2019,12,4,11,2019-12-04,2,AM,2019-12-04 11:42:49.571000-05:00,2019-12-04 11:47:02.934000-05:00,514,49
120,lawrence_east,kennedy,2019-12-27 09:30:12.765000-05:00,2019-12-27 09:39:24.177000-05:00,2019,12,27,9,2019-12-27,4,AM,2019-12-27 09:42:46.259000-05:00,2019-12-27 09:48:36.778000-05:00,552,35
203,lawrence_east,kennedy,2019-12-27 11:38:52.320000-05:00,2019-12-27 11:44:02.853000-05:00,2019,12,27,11,2019-12-27,4,AM,2019-12-27 11:40:56.988000-05:00,2019-12-27 11:52:19.041000-05:00,496,60
241,lawrence_east,kennedy,2019-12-16 09:39:21.716000-05:00,2019-12-16 09:43:28.002000-05:00,2019,12,16,9,2019-12-16,0,AM,2019-12-16 09:49:43.755000-05:00,2019-12-16 09:53:21.315000-05:00,593,33
308,lawrence_east,kennedy,2019-12-16 11:23:39.203000-05:00,2019-12-16 11:31:40.239000-05:00,2019,12,16,11,2019-12-16,0,AM,2019-12-16 11:31:07.112000-05:00,2019-12-16 11:40:02.839000-05:00,502,53
309,lawrence_east,kennedy,2019-12-16 11:31:07.112000-05:00,2019-12-16 11:40:02.839000-05:00,2019,12,16,11,2019-12-16,0,AM,2019-12-16 11:46:10.135000-05:00,2019-12-16 11:50:07.605000-05:00,604,54
314,lawrence_east,kennedy,2019-12-16 11:49:04.688000-05:00,2019-12-16 11:54:42.346000-05:00,2019,12,16,11,2019-12-16,0,AM,2019-12-16 11:57:49.057000-05:00,2019-12-16 12:02:36.140000-05:00,473,56
191,lawrence_east,kennedy,2020-01-02 10:30:12.779000-05:00,2020-01-02 10:36:04.278000-05:00,2020,1,2,10,2020-01-02,3,AM,2020-01-02 10:36:02.848000-05:00,2020-01-02 10:43:39.664000-05:00,455,46
209,lawrence_east,kennedy,2019-12-23 09:44:23.334000-05:00,2019-12-23 09:49:41.034000-05:00,2019,12,23,9,2019-12-23,0,AM,2019-12-23 09:53:48.349000-05:00,2019-12-23 09:59:10.878000-05:00,569,35
252,lawrence_east,kennedy,2019-12-23 11:10:23.876000-05:00,2019-12-23 11:15:32.794000-05:00,2019,12,23,11,2019-12-23,0,AM,2019-12-23 11:14:10.385000-05:00,2019-12-23 11:26:23.643000-05:00,650,54
274,lawrence_east,kennedy,2019-12-23 11:39:56.265000-05:00,2019-12-23 11:44:41.857000-05:00,2019,12,23,11,2019-12-23,0,AM,2019-12-23 11:52:19.359000-05:00,2019-12-23 11:56:02.063000-05:00,680,58
387,lawrence_east,kennedy,2019-11-28 11:20:18.911000-05:00,2019-11-28 11:25:24.593000-05:00,2019,11,28,11,2019-11-28,3,AM,2019-11-28 11:26:32.263000-05:00,2019-11-28 11:36:31.973000-05:00,667,52
144,lawrence_east,kennedy,2020-01-03 08:51:02.741000-05:00,2020-01-03 08:55:23.335000-05:00,2020,1,3,8,2020-01-03,4,AM,2020-01-03 08:59:23.657000-05:00,2020-01-03 09:04:13.956000-05:00,530,21
160,lawrence_east,kennedy,2020-01-03 09:09:37.565000-05:00,2020-01-03 09:14:20.206000-05:00,2020,1,3,9,2020-01-03,4,AM,2020-01-03 09:19:33.547000-05:00,2020-01-03 09:23:08.959000-05:00,528,24
259,lawrence_east,kennedy,2019-12-12 09:44:59.250000-05:00,2019-12-12 09:50:04.453000-05:00,2019,12,12,9,2019-12-12,3,AM,2019-12-12 09:52:12.917000-05:00,2019-12-12 09:59:18.798000-05:00,554,35
285,lawrence_east,kennedy,2019-12-19 10:49:23.610000-05:00,2019-12-19 10:54:56.430000-05:00,2019,12,19,10,2019-12-19,3,AM,2019-12-19 10:57:24.346000-05:00,2019-12-19 11:07:10.904000-05:00,734,47
