index,subwayline,station_char_o,stationid_o,traindirection,trip,trainid,estimated_arrival_o,station_char_d,stationid_d,estimated_arrival_d,cost
0,YUS,STC1,25,North,0,134,2019-12-04 11:01:37.780406-05:00,DAV1,26.0,2019-12-04 11:05:37.901746-05:00,4.0
0,YUS,STC1,25,North,0,134,2019-12-04 11:01:37.780406-05:00,DAV1,26.0,2019-12-04 11:05:37.901746-05:00,4.0
30,YUS,STC1,25,North,2,134,2019-12-04 13:53:37.538582-05:00,DAV1,26.0,2019-12-04 13:55:55.399416780-05:00,2.283333333333333
1,YUS,DAV1,26,North,0,134,2019-12-04 11:05:37.901746-05:00,EGL1,27.0,2019-12-04 11:07:37.768021-05:00,1.9833333333333334
1,YUS,DAV1,26,North,0,134,2019-12-04 11:05:37.901746-05:00,EGL1,27.0,2019-12-04 11:07:37.768021-05:00,1.9833333333333334
31,YUS,DAV1,26,North,2,134,2019-12-04 13:55:55.399416780-05:00,EGL1,27.0,2019-12-04 13:57:37.659406-05:00,1.7
2,YUS,EGL1,27,North,0,134,2019-12-04 11:07:37.768021-05:00,LAW1,28.0,2019-12-04 11:10:37.527644-05:00,2.9833333333333334
2,YUS,EGL1,27,North,0,134,2019-12-04 11:07:37.768021-05:00,LAW1,28.0,2019-12-04 11:10:37.527644-05:00,2.9833333333333334
32,YUS,EGL1,27,North,2,134,2019-12-04 13:57:37.659406-05:00,LAW1,28.0,2019-12-04 14:00:56.739122500-05:00,3.316666666666667
3,YUS,LAW1,28,North,0,134,2019-12-04 11:10:37.527644-05:00,YKM1,29.0,2019-12-04 11:13:37.951917-05:00,3.0
3,YUS,LAW1,28,North,0,134,2019-12-04 11:10:37.527644-05:00,YKM1,29.0,2019-12-04 11:13:37.951917-05:00,3.0
4,YUS,YKM1,29,North,0,134,2019-12-04 11:13:37.951917-05:00,SHP1,30.0,2019-12-04 11:17:37.512379-05:00,3.9833333333333334
4,YUS,YKM1,29,North,0,134,2019-12-04 11:13:37.951917-05:00,SHP1,30.0,2019-12-04 11:17:37.512379-05:00,3.9833333333333334
5,YUS,SHP1,30,North,0,134,2019-12-04 11:17:37.512379-05:00,NYC1,31.0,2019-12-04 11:18:37.591332-05:00,1.0
5,YUS,SHP1,30,North,0,134,2019-12-04 11:17:37.512379-05:00,NYC1,31.0,2019-12-04 11:18:37.591332-05:00,1.0
6,YUS,NYC1,31,North,0,134,2019-12-04 11:18:37.591332-05:00,FIN2,32.0,2019-12-04 11:21:35.250414500-05:00,2.95
6,YUS,NYC1,31,North,0,134,2019-12-04 11:18:37.591332-05:00,FIN2,32.0,2019-12-04 11:21:35.250414500-05:00,2.95
7,YUS,FIN2,32,North,0,134,2019-12-04 11:21:35.250414500-05:00,FIN1,32.0,2019-12-04 11:21:37.634610-05:00,0.03333333333333333
7,YUS,FIN2,32,North,0,134,2019-12-04 11:21:35.250414500-05:00,FIN1,32.0,2019-12-04 11:21:37.634610-05:00,0.03333333333333333
0,YUS,VMC1,80,North,2,134,2019-12-04 12:53:44.993659-05:00,HWY1,79.0,2019-12-04 12:59:44.999217-05:00,6.0
