index,subwayline,station_char_o,stationid_o,traindirection,trip,trainid,estimated_arrival_o,station_char_d,stationid_d,estimated_arrival_d,cost
0,SHEP,BYV1,65,East,0,461,2019-12-05 05:21:37.587543-05:00,BSS1,66.0,2019-12-05 05:22:55.445253920-05:00,1.2833333333333334
0,SHEP,BYV1,65,East,0,461,2019-12-05 05:21:37.587543-05:00,BSS1,66.0,2019-12-05 05:22:55.445253920-05:00,1.2833333333333334
2,SHEP,BYV1,65,East,2,461,2019-12-05 05:43:44.974207-05:00,BSS1,66.0,2019-12-05 05:45:38.731635240-05:00,1.8833333333333333
2,SHEP,BYV1,65,East,4,461,2019-12-05 06:05:44.984314-05:00,BSS1,66.0,2019-12-05 06:07:44.983090-05:00,1.9833333333333334
2,SHEP,BYV1,65,East,6,461,2019-12-05 06:28:10.995546360-05:00,BSS1,66.0,2019-12-05 06:29:45.022387-05:00,1.5666666666666667
2,SHEP,BYV1,65,East,8,461,2019-12-05 06:49:45.030233-05:00,BSS1,66.0,2019-12-05 06:51:45.029917-05:00,1.9833333333333334
2,SHEP,BYV1,65,East,10,461,2019-12-05 07:12:11.011593360-05:00,BSS1,66.0,2019-12-05 07:13:45.039746-05:00,1.5666666666666667
2,SHEP,BYV1,65,East,12,461,2019-12-05 07:34:11.020919360-05:00,BSS1,66.0,2019-12-05 07:35:56.926268620-05:00,1.75
2,SHEP,BYV1,65,East,14,461,2019-12-05 07:56:11.027844360-05:00,BSS1,66.0,2019-12-05 07:58:02.692660920-05:00,1.85
1,SHEP,BYV1,65,East,16,461,2019-12-05 08:17:44.429762-05:00,BSS1,66.0,2019-12-05 08:19:57.308349620-05:00,2.2
2,SHEP,BYV1,65,East,18,461,2019-12-05 08:40:11.406930360-05:00,BSS1,66.0,2019-12-05 08:41:45.433574-05:00,1.5666666666666667
1,SHEP,BSS1,66,East,0,461,2019-12-05 05:22:55.445253920-05:00,LES1,67.0,2019-12-05 05:24:13.417886240-05:00,1.2833333333333334
1,SHEP,BSS1,66,East,0,461,2019-12-05 05:22:55.445253920-05:00,LES1,67.0,2019-12-05 05:24:13.417886240-05:00,1.2833333333333334
3,SHEP,BSS1,66,East,2,461,2019-12-05 05:45:38.731635240-05:00,LES1,67.0,2019-12-05 05:46:44.975478-05:00,1.1
3,SHEP,BSS1,66,East,4,461,2019-12-05 06:07:44.983090-05:00,LES1,67.0,2019-12-05 06:09:20.742664240-05:00,1.5833333333333333
3,SHEP,BSS1,66,East,6,461,2019-12-05 06:29:45.022387-05:00,LES1,67.0,2019-12-05 06:30:45.022347-05:00,0.9833333333333333
3,SHEP,BSS1,66,East,8,461,2019-12-05 06:51:45.029917-05:00,LES1,67.0,2019-12-05 06:53:00.976821720-05:00,1.25
3,SHEP,BSS1,66,East,10,461,2019-12-05 07:13:45.039746-05:00,LES1,67.0,2019-12-05 07:14:45.040211-05:00,1.0
3,SHEP,BSS1,66,East,12,461,2019-12-05 07:35:56.926268620-05:00,LES1,67.0,2019-12-05 07:36:45.046492-05:00,0.8
3,SHEP,BSS1,66,East,14,461,2019-12-05 07:58:02.692660920-05:00,LES1,67.0,2019-12-05 07:59:20.814278240-05:00,1.3
2,SHEP,BSS1,66,East,16,461,2019-12-05 08:19:57.308349620-05:00,LES1,67.0,2019-12-05 08:20:47.428755-05:00,0.8333333333333334
3,SHEP,BSS1,66,East,18,461,2019-12-05 08:41:45.433574-05:00,LES1,67.0,2019-12-05 08:43:45.432691-05:00,1.9833333333333334
2,SHEP,LES1,67,East,0,461,2019-12-05 05:24:13.417886240-05:00,DML2,68.0,2019-12-05 05:26:28.265377040-05:00,2.2333333333333334
2,SHEP,LES1,67,East,0,461,2019-12-05 05:24:13.417886240-05:00,DML2,68.0,2019-12-05 05:26:28.265377040-05:00,2.2333333333333334
4,SHEP,LES1,67,East,2,461,2019-12-05 05:46:44.975478-05:00,DML2,68.0,2019-12-05 05:49:56.853245620-05:00,3.183333333333333
4,SHEP,LES1,67,East,12,461,2019-12-05 07:36:45.046492-05:00,DML2,68.0,2019-12-05 07:39:56.927201620-05:00,3.183333333333333
4,SHEP,LES1,67,East,18,461,2019-12-05 08:43:45.432691-05:00,DML2,68.0,2019-12-05 08:45:36.170045040-05:00,1.8333333333333333
0,SHEP,DML1,68,West,3,461,2019-12-05 05:50:20.371368160-05:00,DML2,68.0,2019-12-05 05:50:44.975687-05:00,0.4
5,SHEP,DML1,68,East,4,461,2019-12-05 06:12:35.751839040-05:00,DML2,68.0,2019-12-05 06:12:35.751839040-05:00,0.0
5,SHEP,DML1,68,East,6,461,2019-12-05 06:33:56.901456620-05:00,DML2,68.0,2019-12-05 06:33:56.901456620-05:00,0.0
0,SHEP,DML1,68,West,7,461,2019-12-05 06:33:57.344712680-05:00,DML2,68.0,2019-12-05 06:34:45.021918-05:00,0.7833333333333333
0,SHEP,DML1,68,West,9,461,2019-12-05 06:56:02.518618760-05:00,DML2,68.0,2019-12-05 06:56:45.031226-05:00,0.7
0,SHEP,DML1,68,West,11,461,2019-12-05 07:17:57.362167680-05:00,DML2,68.0,2019-12-05 07:18:45.040433-05:00,0.7833333333333333
