index,subwayline,station_char_o,stationid_o,traindirection,trip,trainid,estimated_arrival_o,station_char_d,stationid_d,estimated_arrival_d,cost
0,BD,YNG2,22,West,0,227,2019-12-10 07:00:37.757569-05:00,BAU2,49.0,2019-12-10 07:01:45.207428-05:00,1.1166666666666667
0,BD,YNG2,22,West,0,227,2019-12-10 07:00:37.757569-05:00,BAU2,49.0,2019-12-10 07:01:45.207428-05:00,1.1166666666666667
12,BD,YNG2,22,West,2,227,2019-12-10 08:46:37.778795-05:00,BAU2,49.0,2019-12-10 08:48:02.741691900-05:00,1.4
12,BD,YNG2,50,West,4,227,2019-12-10 10:36:44.885815-05:00,BAU2,49.0,2019-12-10 10:38:18.689659980-05:00,1.55
1,BD,BAU2,49,West,0,227,2019-12-10 07:01:45.207428-05:00,SGL2,10.0,2019-12-10 07:03:37.605676-05:00,1.8666666666666667
1,BD,BAU2,49,West,0,227,2019-12-10 07:01:45.207428-05:00,SGL2,10.0,2019-12-10 07:03:37.605676-05:00,1.8666666666666667
13,BD,BAU2,49,West,2,227,2019-12-10 08:48:02.741691900-05:00,SGL2,10.0,2019-12-10 08:49:37.563947-05:00,1.5666666666666667
13,BD,BAU2,49,West,4,227,2019-12-10 10:38:18.689659980-05:00,SGL2,10.0,2019-12-10 10:39:37.537138-05:00,1.3
2,BD,SGL2,10,West,0,227,2019-12-10 07:03:37.605676-05:00,BSP2,47.0,2019-12-10 07:03:54.978982860-05:00,0.2833333333333333
2,BD,SGL2,10,West,0,227,2019-12-10 07:03:37.605676-05:00,BSP2,47.0,2019-12-10 07:03:54.978982860-05:00,0.2833333333333333
14,BD,SGL2,10,West,2,227,2019-12-10 08:49:37.563947-05:00,BSP2,9.0,2019-12-10 08:50:37.481503-05:00,0.9833333333333333
14,BD,SGL2,10,West,4,227,2019-12-10 10:39:37.537138-05:00,BSP2,9.0,2019-12-10 10:40:37.341481-05:00,0.9833333333333333
3,BD,BSP2,47,West,0,227,2019-12-10 07:03:54.978982860-05:00,BAT2,46.0,2019-12-10 07:05:27.201946520-05:00,1.5333333333333334
3,BD,BSP2,47,West,0,227,2019-12-10 07:03:54.978982860-05:00,BAT2,46.0,2019-12-10 07:05:27.201946520-05:00,1.5333333333333334
15,BD,BSP2,9,West,2,227,2019-12-10 08:50:37.481503-05:00,BAT2,46.0,2019-12-10 08:51:45.229381-05:00,1.1166666666666667
15,BD,BSP2,9,West,4,227,2019-12-10 10:40:37.341481-05:00,BAT2,46.0,2019-12-10 10:41:44.889479-05:00,1.1166666666666667
4,BD,BAT2,46,West,0,227,2019-12-10 07:05:27.201946520-05:00,CHR2,45.0,2019-12-10 07:06:45.210188-05:00,1.3
4,BD,BAT2,46,West,0,227,2019-12-10 07:05:27.201946520-05:00,CHR2,45.0,2019-12-10 07:06:45.210188-05:00,1.3
16,BD,BAT2,46,West,2,227,2019-12-10 08:51:45.229381-05:00,CHR2,45.0,2019-12-10 08:52:54.928382240-05:00,1.15
16,BD,BAT2,46,West,4,227,2019-12-10 10:41:44.889479-05:00,CHR2,45.0,2019-12-10 10:42:44.890805-05:00,1.0
5,BD,CHR2,45,West,0,227,2019-12-10 07:06:45.210188-05:00,OSS2,44.0,2019-12-10 07:07:45.211059-05:00,1.0
5,BD,CHR2,45,West,0,227,2019-12-10 07:06:45.210188-05:00,OSS2,44.0,2019-12-10 07:07:45.211059-05:00,1.0
