index,subwayline,station_char_o,stationid_o,traindirection,trip,trainid,estimated_arrival_o,station_char_d,stationid_d,estimated_arrival_d,cost
0,YUS,KNG1,17,North,0,131,2019-12-11 16:01:37.880480-05:00,QUN1,18.0,2019-12-11 16:02:37.540489-05:00,0.9833333333333333
0,YUS,KNG1,17,North,0,131,2019-12-11 16:01:37.880480-05:00,QUN1,18.0,2019-12-11 16:02:37.540489-05:00,0.9833333333333333
0,YUS,KNG1,17,North,2,131,2019-12-11 18:36:37.669165-05:00,QUN1,18.0,2019-12-11 18:37:37.721717-05:00,1.0
1,YUS,QUN1,18,North,0,131,2019-12-11 16:02:37.540489-05:00,DUN1,19.0,2019-12-11 16:03:37.663733-05:00,1.0
1,YUS,QUN1,18,North,0,131,2019-12-11 16:02:37.540489-05:00,DUN1,19.0,2019-12-11 16:03:37.663733-05:00,1.0
1,YUS,QUN1,18,North,2,131,2019-12-11 18:37:37.721717-05:00,DUN1,19.0,2019-12-11 18:39:37.751271-05:00,2.0
2,YUS,DUN1,19,North,0,131,2019-12-11 16:03:37.663733-05:00,COL1,20.0,2019-12-11 16:06:37.392816-05:00,2.9833333333333334
2,YUS,DUN1,19,North,0,131,2019-12-11 16:03:37.663733-05:00,COL1,20.0,2019-12-11 16:06:37.392816-05:00,2.9833333333333334
2,YUS,DUN1,19,North,2,131,2019-12-11 18:39:37.751271-05:00,COL1,20.0,2019-12-11 18:40:37.477898-05:00,0.9833333333333333
3,YUS,COL1,20,North,0,131,2019-12-11 16:06:37.392816-05:00,WEL1,21.0,2019-12-11 16:07:37.472933-05:00,1.0
3,YUS,COL1,20,North,0,131,2019-12-11 16:06:37.392816-05:00,WEL1,21.0,2019-12-11 16:07:37.472933-05:00,1.0
3,YUS,COL1,20,North,2,131,2019-12-11 18:40:37.477898-05:00,WEL1,21.0,2019-12-11 18:41:54.549795360-05:00,1.2833333333333334
4,YUS,WEL1,21,North,0,131,2019-12-11 16:07:37.472933-05:00,BLO1,22.0,2019-12-11 16:09:37.548757-05:00,2.0
4,YUS,WEL1,21,North,0,131,2019-12-11 16:07:37.472933-05:00,BLO1,22.0,2019-12-11 16:09:37.548757-05:00,2.0
4,YUS,WEL1,21,North,2,131,2019-12-11 18:41:54.549795360-05:00,BLO1,22.0,2019-12-11 18:43:37.895144-05:00,1.7166666666666666
5,YUS,BLO1,22,North,0,131,2019-12-11 16:09:37.548757-05:00,ROS1,23.0,2019-12-11 16:11:12.002638360-05:00,1.5666666666666667
5,YUS,BLO1,22,North,0,131,2019-12-11 16:09:37.548757-05:00,ROS1,23.0,2019-12-11 16:11:12.002638360-05:00,1.5666666666666667
5,YUS,BLO1,22,North,2,131,2019-12-11 18:43:37.895144-05:00,ROS1,23.0,2019-12-11 18:44:49.766844-05:00,1.1833333333333333
6,YUS,ROS1,23,North,0,131,2019-12-11 16:11:12.002638360-05:00,SUM1,24.0,2019-12-11 16:12:37.987832-05:00,1.4166666666666667
6,YUS,ROS1,23,North,0,131,2019-12-11 16:11:12.002638360-05:00,SUM1,24.0,2019-12-11 16:12:37.987832-05:00,1.4166666666666667
6,YUS,ROS1,23,North,2,131,2019-12-11 18:44:49.766844-05:00,SUM1,24.0,2019-12-11 18:46:37.506181-05:00,1.7833333333333334
7,YUS,SUM1,24,North,0,131,2019-12-11 16:12:37.987832-05:00,STC1,25.0,2019-12-11 16:14:25.371683920-05:00,1.7833333333333334
7,YUS,SUM1,24,North,0,131,2019-12-11 16:12:37.987832-05:00,STC1,25.0,2019-12-11 16:14:25.371683920-05:00,1.7833333333333334
7,YUS,SUM1,24,North,2,131,2019-12-11 18:46:37.506181-05:00,STC1,25.0,2019-12-11 18:48:25.488509920-05:00,1.7833333333333334
8,YUS,STC1,25,North,0,131,2019-12-11 16:14:25.371683920-05:00,DAV1,26.0,2019-12-11 16:16:37.647757-05:00,2.2
8,YUS,STC1,25,North,0,131,2019-12-11 16:14:25.371683920-05:00,DAV1,26.0,2019-12-11 16:16:37.647757-05:00,2.2
8,YUS,STC1,25,North,2,131,2019-12-11 18:48:25.488509920-05:00,DAV1,26.0,2019-12-11 18:49:55.516527740-05:00,1.5
9,YUS,DAV1,26,North,0,131,2019-12-11 16:16:37.647757-05:00,EGL1,27.0,2019-12-11 16:19:37.574134-05:00,2.9833333333333334
9,YUS,DAV1,26,North,0,131,2019-12-11 16:16:37.647757-05:00,EGL1,27.0,2019-12-11 16:19:37.574134-05:00,2.9833333333333334
9,YUS,DAV1,26,North,2,131,2019-12-11 18:49:55.516527740-05:00,EGL1,27.0,2019-12-11 18:52:45.368056-05:00,2.816666666666667
10,YUS,EGL1,27,North,0,131,2019-12-11 16:19:37.574134-05:00,LAW1,28.0,2019-12-11 16:22:19.120141920-05:00,2.683333333333333
10,YUS,EGL1,27,North,0,131,2019-12-11 16:19:37.574134-05:00,LAW1,28.0,2019-12-11 16:22:19.120141920-05:00,2.683333333333333
10,YUS,EGL1,27,North,2,131,2019-12-11 18:52:45.368056-05:00,LAW1,28.0,2019-12-11 18:55:37.687011-05:00,2.8666666666666667
11,YUS,LAW1,28,North,0,131,2019-12-11 16:22:19.120141920-05:00,FIN2,32.0,2019-12-11 16:28:26.995181640-05:00,6.116666666666666
11,YUS,LAW1,28,North,0,131,2019-12-11 16:22:19.120141920-05:00,FIN2,32.0,2019-12-11 16:28:26.995181640-05:00,6.116666666666666
14,YUS,NYC1,31,North,2,131,2019-12-11 19:09:37.418212-05:00,FIN2,32.0,2019-12-11 19:13:11.674506260-05:00,3.566666666666667
11,YUS,LAW1,28,North,2,131,2019-12-11 18:55:37.687011-05:00,YKM1,29.0,2019-12-11 18:58:37.388440-05:00,2.9833333333333334
12,YUS,YKM1,29,North,2,131,2019-12-11 18:58:37.388440-05:00,SHP1,64.0,2019-12-11 19:05:45.356491-05:00,7.116666666666666
13,YUS,SHP1,64,North,2,131,2019-12-11 19:05:45.356491-05:00,NYC1,31.0,2019-12-11 19:09:37.418212-05:00,3.8666666666666667
0,YUS,FIN2,32,South,3,131,2019-12-11 19:13:37.642795-05:00,NYC2,31.0,2019-12-11 19:18:37.646814-05:00,5.0
0,YUS,FIN2,32,South,3,131,2019-12-11 19:13:37.642795-05:00,NYC2,31.0,2019-12-11 19:18:37.646814-05:00,5.0
1,YUS,NYC2,31,South,3,131,2019-12-11 19:18:37.646814-05:00,SHP2,30.0,2019-12-11 19:20:37.811394-05:00,2.0
1,YUS,NYC2,31,South,3,131,2019-12-11 19:18:37.646814-05:00,SHP2,30.0,2019-12-11 19:20:37.811394-05:00,2.0
2,YUS,SHP2,30,South,3,131,2019-12-11 19:20:37.811394-05:00,YKM2,29.0,2019-12-11 19:22:37.449055-05:00,1.9833333333333334
2,YUS,SHP2,30,South,3,131,2019-12-11 19:20:37.811394-05:00,YKM2,29.0,2019-12-11 19:22:37.449055-05:00,1.9833333333333334
3,YUS,YKM2,29,South,3,131,2019-12-11 19:22:37.449055-05:00,LAW2,28.0,2019-12-11 19:26:37.532527-05:00,4.0
3,YUS,YKM2,29,South,3,131,2019-12-11 19:22:37.449055-05:00,LAW2,28.0,2019-12-11 19:26:37.532527-05:00,4.0
4,YUS,LAW2,28,South,3,131,2019-12-11 19:26:37.532527-05:00,EGL2,27.0,2019-12-11 19:29:37.513856-05:00,2.9833333333333334
4,YUS,LAW2,28,South,3,131,2019-12-11 19:26:37.532527-05:00,EGL2,27.0,2019-12-11 19:29:37.513856-05:00,2.9833333333333334
5,YUS,EGL2,27,South,3,131,2019-12-11 19:29:37.513856-05:00,DAV2,26.0,2019-12-11 19:31:53.144408580-05:00,2.25
5,YUS,EGL2,27,South,3,131,2019-12-11 19:29:37.513856-05:00,DAV2,26.0,2019-12-11 19:31:53.144408580-05:00,2.25
6,YUS,DAV2,26,South,3,131,2019-12-11 19:31:53.144408580-05:00,STC2,25.0,2019-12-11 19:33:53.004147-05:00,1.9833333333333334
6,YUS,DAV2,26,South,3,131,2019-12-11 19:31:53.144408580-05:00,STC2,25.0,2019-12-11 19:33:53.004147-05:00,1.9833333333333334
7,YUS,STC2,25,South,3,131,2019-12-11 19:33:53.004147-05:00,SUM2,24.0,2019-12-11 19:35:37.839744-05:00,1.7333333333333334
7,YUS,STC2,25,South,3,131,2019-12-11 19:33:53.004147-05:00,SUM2,24.0,2019-12-11 19:35:37.839744-05:00,1.7333333333333334
8,YUS,SUM2,24,South,3,131,2019-12-11 19:35:37.839744-05:00,ROS2,23.0,2019-12-11 19:36:37.459350-05:00,0.9833333333333333
8,YUS,SUM2,24,South,3,131,2019-12-11 19:35:37.839744-05:00,ROS2,23.0,2019-12-11 19:36:37.459350-05:00,0.9833333333333333
9,YUS,ROS2,23,South,3,131,2019-12-11 19:36:37.459350-05:00,BLO2,50.0,2019-12-11 19:37:45.010781-05:00,1.1166666666666667
9,YUS,ROS2,23,South,3,131,2019-12-11 19:36:37.459350-05:00,BLO2,50.0,2019-12-11 19:37:45.010781-05:00,1.1166666666666667
10,YUS,BLO2,50,South,3,131,2019-12-11 19:37:45.010781-05:00,WEL2,21.0,2019-12-11 19:39:37.398556-05:00,1.8666666666666667
10,YUS,BLO2,50,South,3,131,2019-12-11 19:37:45.010781-05:00,WEL2,21.0,2019-12-11 19:39:37.398556-05:00,1.8666666666666667
11,YUS,WEL2,21,South,3,131,2019-12-11 19:39:37.398556-05:00,COL2,20.0,2019-12-11 19:40:37.566802-05:00,1.0
11,YUS,WEL2,21,South,3,131,2019-12-11 19:39:37.398556-05:00,COL2,20.0,2019-12-11 19:40:37.566802-05:00,1.0
12,YUS,COL2,20,South,3,131,2019-12-11 19:40:37.566802-05:00,DUN2,19.0,2019-12-11 19:41:47.141233580-05:00,1.15
12,YUS,COL2,20,South,3,131,2019-12-11 19:40:37.566802-05:00,DUN2,19.0,2019-12-11 19:41:47.141233580-05:00,1.15
13,YUS,DUN2,19,South,3,131,2019-12-11 19:41:47.141233580-05:00,QUN2,18.0,2019-12-11 19:42:58.740125160-05:00,1.1833333333333333
13,YUS,DUN2,19,South,3,131,2019-12-11 19:41:47.141233580-05:00,QUN2,18.0,2019-12-11 19:42:58.740125160-05:00,1.1833333333333333
14,YUS,QUN2,18,South,3,131,2019-12-11 19:42:58.740125160-05:00,KNG2,17.0,2019-12-11 19:44:37.661066-05:00,1.6333333333333333
14,YUS,QUN2,18,South,3,131,2019-12-11 19:42:58.740125160-05:00,KNG2,17.0,2019-12-11 19:44:37.661066-05:00,1.6333333333333333
15,YUS,KNG2,17,South,3,131,2019-12-11 19:44:37.661066-05:00,UNI2,16.0,2019-12-11 19:45:37.636121-05:00,0.9833333333333333
15,YUS,KNG2,17,South,3,131,2019-12-11 19:44:37.661066-05:00,UNI2,16.0,2019-12-11 19:45:37.636121-05:00,0.9833333333333333
16,YUS,UNI2,16,South,3,131,2019-12-11 19:45:37.636121-05:00,STA2,15.0,2019-12-11 19:47:37.704887-05:00,2.0
16,YUS,UNI2,16,South,3,131,2019-12-11 19:45:37.636121-05:00,STA2,15.0,2019-12-11 19:47:37.704887-05:00,2.0
17,YUS,STA2,15,South,3,131,2019-12-11 19:47:37.704887-05:00,OSG2,14.0,2019-12-11 19:50:04.874094840-05:00,2.45
17,YUS,STA2,15,South,3,131,2019-12-11 19:47:37.704887-05:00,OSG2,14.0,2019-12-11 19:50:04.874094840-05:00,2.45
18,YUS,OSG2,14,South,3,131,2019-12-11 19:50:04.874094840-05:00,STP2,13.0,2019-12-11 19:51:37.464318-05:00,1.5333333333333334
18,YUS,OSG2,14,South,3,131,2019-12-11 19:50:04.874094840-05:00,STP2,13.0,2019-12-11 19:51:37.464318-05:00,1.5333333333333334
19,YUS,STP2,13,South,3,131,2019-12-11 19:51:37.464318-05:00,QPK2,12.0,2019-12-11 19:53:10.029470700-05:00,1.5333333333333334
19,YUS,STP2,13,South,3,131,2019-12-11 19:51:37.464318-05:00,QPK2,12.0,2019-12-11 19:53:10.029470700-05:00,1.5333333333333334
20,YUS,QPK2,12,South,3,131,2019-12-11 19:53:10.029470700-05:00,MUS2,11.0,2019-12-11 19:54:37.587215-05:00,1.45
20,YUS,QPK2,12,South,3,131,2019-12-11 19:53:10.029470700-05:00,MUS2,11.0,2019-12-11 19:54:37.587215-05:00,1.45
21,YUS,MUS2,11,South,3,131,2019-12-11 19:54:37.587215-05:00,SGU2,10.0,2019-12-11 19:56:37.651621-05:00,2.0
21,YUS,MUS2,11,South,3,131,2019-12-11 19:54:37.587215-05:00,SGU2,10.0,2019-12-11 19:56:37.651621-05:00,2.0
22,YUS,SGU2,10,South,3,131,2019-12-11 19:56:37.651621-05:00,SPA2,9.0,2019-12-11 19:58:37.459879-05:00,1.9833333333333334
22,YUS,SGU2,10,South,3,131,2019-12-11 19:56:37.651621-05:00,SPA2,9.0,2019-12-11 19:58:37.459879-05:00,1.9833333333333334
23,YUS,SPA2,9,South,3,131,2019-12-11 19:58:37.459879-05:00,DUP2,8.0,2019-12-11 19:59:37.612226-05:00,1.0
23,YUS,SPA2,9,South,3,131,2019-12-11 19:58:37.459879-05:00,DUP2,8.0,2019-12-11 19:59:37.612226-05:00,1.0
24,YUS,DUP2,8,South,3,131,2019-12-11 19:59:37.612226-05:00,SCW2,7.0,2019-12-11 20:02:37.427350-05:00,2.9833333333333334
24,YUS,DUP2,8,South,3,131,2019-12-11 19:59:37.612226-05:00,SCW2,7.0,2019-12-11 20:02:37.427350-05:00,2.9833333333333334
25,YUS,SCW2,7,South,3,131,2019-12-11 20:02:37.427350-05:00,CVL2,6.0,2019-12-11 20:07:37.818458-05:00,5.0
25,YUS,SCW2,7,South,3,131,2019-12-11 20:02:37.427350-05:00,CVL2,6.0,2019-12-11 20:07:37.818458-05:00,5.0
26,YUS,CVL2,6,South,3,131,2019-12-11 20:07:37.818458-05:00,GCN2,5.0,2019-12-11 20:09:37.529603-05:00,1.9833333333333334
26,YUS,CVL2,6,South,3,131,2019-12-11 20:07:37.818458-05:00,GCN2,5.0,2019-12-11 20:09:37.529603-05:00,1.9833333333333334
27,YUS,GCN2,5,South,3,131,2019-12-11 20:09:37.529603-05:00,LWW2,4.0,2019-12-11 20:11:37.586314-05:00,2.0
27,YUS,GCN2,5,South,3,131,2019-12-11 20:09:37.529603-05:00,LWW2,4.0,2019-12-11 20:11:37.586314-05:00,2.0
28,YUS,LWW2,4,South,3,131,2019-12-11 20:11:37.586314-05:00,YKD2,3.0,2019-12-11 20:13:37.460078-05:00,1.9833333333333334
28,YUS,LWW2,4,South,3,131,2019-12-11 20:11:37.586314-05:00,YKD2,3.0,2019-12-11 20:13:37.460078-05:00,1.9833333333333334
29,YUS,YKD2,3,South,3,131,2019-12-11 20:13:37.460078-05:00,WIL2,2.0,2019-12-11 20:15:37.360908-05:00,1.9833333333333334
29,YUS,YKD2,3,South,3,131,2019-12-11 20:13:37.460078-05:00,WIL2,2.0,2019-12-11 20:15:37.360908-05:00,1.9833333333333334
30,YUS,WIL2,2,South,3,131,2019-12-11 20:15:37.360908-05:00,SHW2,1.0,2019-12-11 20:18:37.587782-05:00,3.0
30,YUS,WIL2,2,South,3,131,2019-12-11 20:15:37.360908-05:00,SHW2,1.0,2019-12-11 20:18:37.587782-05:00,3.0
31,YUS,SHW2,1,South,3,131,2019-12-11 20:18:37.587782-05:00,DNP2,75.0,2019-12-11 20:21:19.053899580-05:00,2.683333333333333
31,YUS,SHW2,1,South,3,131,2019-12-11 20:18:37.587782-05:00,DNP2,75.0,2019-12-11 20:21:19.053899580-05:00,2.683333333333333
32,YUS,DNP2,75,South,3,131,2019-12-11 20:21:19.053899580-05:00,FIW2,76.0,2019-12-11 20:23:37.716548-05:00,2.3
32,YUS,DNP2,75,South,3,131,2019-12-11 20:21:19.053899580-05:00,FIW2,76.0,2019-12-11 20:23:37.716548-05:00,2.3
33,YUS,FIW2,76,South,3,131,2019-12-11 20:23:37.716548-05:00,YUN2,77.0,2019-12-11 20:26:15.085141700-05:00,2.6166666666666667
33,YUS,FIW2,76,South,3,131,2019-12-11 20:23:37.716548-05:00,YUN2,77.0,2019-12-11 20:26:15.085141700-05:00,2.6166666666666667
34,YUS,YUN2,77,South,3,131,2019-12-11 20:26:15.085141700-05:00,PVL2,78.0,2019-12-11 20:27:56.263624700-05:00,1.6833333333333333
34,YUS,YUN2,77,South,3,131,2019-12-11 20:26:15.085141700-05:00,PVL2,78.0,2019-12-11 20:27:56.263624700-05:00,1.6833333333333333
35,YUS,PVL2,78,South,3,131,2019-12-11 20:27:56.263624700-05:00,HWY2,79.0,2019-12-11 20:30:37.635982-05:00,2.683333333333333
35,YUS,PVL2,78,South,3,131,2019-12-11 20:27:56.263624700-05:00,HWY2,79.0,2019-12-11 20:30:37.635982-05:00,2.683333333333333
36,YUS,HWY2,79,South,3,131,2019-12-11 20:30:37.635982-05:00,VMC2,80.0,2019-12-11 20:33:45.190812-05:00,3.1166666666666667
36,YUS,HWY2,79,South,3,131,2019-12-11 20:30:37.635982-05:00,VMC2,80.0,2019-12-11 20:33:45.190812-05:00,3.1166666666666667
0,YUS,FIN2,32,South,3,131,2019-12-11 19:13:37.642795-05:00,NYC2,31.0,2019-12-11 19:18:37.646814-05:00,5.0
1,YUS,NYC2,31,South,3,131,2019-12-11 19:18:37.646814-05:00,SHP2,30.0,2019-12-11 19:20:37.811394-05:00,2.0
2,YUS,SHP2,30,South,3,131,2019-12-11 19:20:37.811394-05:00,YKM2,29.0,2019-12-11 19:22:37.449055-05:00,1.9833333333333334
3,YUS,YKM2,29,South,3,131,2019-12-11 19:22:37.449055-05:00,LAW2,28.0,2019-12-11 19:26:37.532527-05:00,4.0
4,YUS,LAW2,28,South,3,131,2019-12-11 19:26:37.532527-05:00,EGL2,27.0,2019-12-11 19:29:37.513856-05:00,2.9833333333333334
5,YUS,EGL2,27,South,3,131,2019-12-11 19:29:37.513856-05:00,DAV2,26.0,2019-12-11 19:31:53.144408580-05:00,2.25
6,YUS,DAV2,26,South,3,131,2019-12-11 19:31:53.144408580-05:00,STC2,25.0,2019-12-11 19:33:53.004147-05:00,1.9833333333333334
7,YUS,STC2,25,South,3,131,2019-12-11 19:33:53.004147-05:00,SUM2,24.0,2019-12-11 19:35:37.839744-05:00,1.7333333333333334
8,YUS,SUM2,24,South,3,131,2019-12-11 19:35:37.839744-05:00,ROS2,23.0,2019-12-11 19:36:37.459350-05:00,0.9833333333333333
9,YUS,ROS2,23,South,3,131,2019-12-11 19:36:37.459350-05:00,BLO2,50.0,2019-12-11 19:37:45.010781-05:00,1.1166666666666667
10,YUS,BLO2,50,South,3,131,2019-12-11 19:37:45.010781-05:00,WEL2,21.0,2019-12-11 19:39:37.398556-05:00,1.8666666666666667
11,YUS,WEL2,21,South,3,131,2019-12-11 19:39:37.398556-05:00,COL2,20.0,2019-12-11 19:40:37.566802-05:00,1.0
12,YUS,COL2,20,South,3,131,2019-12-11 19:40:37.566802-05:00,DUN2,19.0,2019-12-11 19:41:47.141233580-05:00,1.15
13,YUS,DUN2,19,South,3,131,2019-12-11 19:41:47.141233580-05:00,QUN2,18.0,2019-12-11 19:42:58.740125160-05:00,1.1833333333333333
14,YUS,QUN2,18,South,3,131,2019-12-11 19:42:58.740125160-05:00,KNG2,17.0,2019-12-11 19:44:37.661066-05:00,1.6333333333333333
15,YUS,KNG2,17,South,3,131,2019-12-11 19:44:37.661066-05:00,UNI2,16.0,2019-12-11 19:45:37.636121-05:00,0.9833333333333333
16,YUS,UNI2,16,South,3,131,2019-12-11 19:45:37.636121-05:00,STA2,15.0,2019-12-11 19:47:37.704887-05:00,2.0
17,YUS,STA2,15,South,3,131,2019-12-11 19:47:37.704887-05:00,OSG2,14.0,2019-12-11 19:50:04.874094840-05:00,2.45
18,YUS,OSG2,14,South,3,131,2019-12-11 19:50:04.874094840-05:00,STP2,13.0,2019-12-11 19:51:37.464318-05:00,1.5333333333333334
19,YUS,STP2,13,South,3,131,2019-12-11 19:51:37.464318-05:00,QPK2,12.0,2019-12-11 19:53:10.029470700-05:00,1.5333333333333334
20,YUS,QPK2,12,South,3,131,2019-12-11 19:53:10.029470700-05:00,MUS2,11.0,2019-12-11 19:54:37.587215-05:00,1.45
21,YUS,MUS2,11,South,3,131,2019-12-11 19:54:37.587215-05:00,SGU2,10.0,2019-12-11 19:56:37.651621-05:00,2.0
22,YUS,SGU2,10,South,3,131,2019-12-11 19:56:37.651621-05:00,SPA2,9.0,2019-12-11 19:58:37.459879-05:00,1.9833333333333334
23,YUS,SPA2,9,South,3,131,2019-12-11 19:58:37.459879-05:00,DUP2,8.0,2019-12-11 19:59:37.612226-05:00,1.0
24,YUS,DUP2,8,South,3,131,2019-12-11 19:59:37.612226-05:00,SCW2,7.0,2019-12-11 20:02:37.427350-05:00,2.9833333333333334
25,YUS,SCW2,7,South,3,131,2019-12-11 20:02:37.427350-05:00,CVL2,6.0,2019-12-11 20:07:37.818458-05:00,5.0
26,YUS,CVL2,6,South,3,131,2019-12-11 20:07:37.818458-05:00,GCN2,5.0,2019-12-11 20:09:37.529603-05:00,1.9833333333333334
27,YUS,GCN2,5,South,3,131,2019-12-11 20:09:37.529603-05:00,LWW2,4.0,2019-12-11 20:11:37.586314-05:00,2.0
28,YUS,LWW2,4,South,3,131,2019-12-11 20:11:37.586314-05:00,YKD2,3.0,2019-12-11 20:13:37.460078-05:00,1.9833333333333334
29,YUS,YKD2,3,South,3,131,2019-12-11 20:13:37.460078-05:00,WIL2,2.0,2019-12-11 20:15:37.360908-05:00,1.9833333333333334
30,YUS,WIL2,2,South,3,131,2019-12-11 20:15:37.360908-05:00,SHW2,1.0,2019-12-11 20:18:37.587782-05:00,3.0
31,YUS,SHW2,1,South,3,131,2019-12-11 20:18:37.587782-05:00,DNP2,75.0,2019-12-11 20:21:19.053899580-05:00,2.683333333333333
32,YUS,DNP2,75,South,3,131,2019-12-11 20:21:19.053899580-05:00,FIW2,76.0,2019-12-11 20:23:37.716548-05:00,2.3
33,YUS,FIW2,76,South,3,131,2019-12-11 20:23:37.716548-05:00,YUN2,77.0,2019-12-11 20:26:15.085141700-05:00,2.6166666666666667
34,YUS,YUN2,77,South,3,131,2019-12-11 20:26:15.085141700-05:00,PVL2,78.0,2019-12-11 20:27:56.263624700-05:00,1.6833333333333333
35,YUS,PVL2,78,South,3,131,2019-12-11 20:27:56.263624700-05:00,HWY2,79.0,2019-12-11 20:30:37.635982-05:00,2.683333333333333
36,YUS,HWY2,79,South,3,131,2019-12-11 20:30:37.635982-05:00,VMC2,80.0,2019-12-11 20:33:45.190812-05:00,3.1166666666666667
0,YUS,WIL1,2,North,0,147,2019-12-11 16:04:37.565556-05:00,YKD1,3.0,2019-12-11 16:07:00.771595360-05:00,2.3833333333333333
0,YUS,WIL1,2,North,0,147,2019-12-11 16:04:37.565556-05:00,YKD1,3.0,2019-12-11 16:07:00.771595360-05:00,2.3833333333333333
1,YUS,YKD1,3,North,0,147,2019-12-11 16:07:00.771595360-05:00,LWW1,4.0,2019-12-11 16:08:37.613608-05:00,1.6
1,YUS,YKD1,3,North,0,147,2019-12-11 16:07:00.771595360-05:00,LWW1,4.0,2019-12-11 16:08:37.613608-05:00,1.6
2,YUS,LWW1,4,North,0,147,2019-12-11 16:08:37.613608-05:00,GCN1,5.0,2019-12-11 16:10:37.316163-05:00,1.9833333333333334
2,YUS,LWW1,4,North,0,147,2019-12-11 16:08:37.613608-05:00,GCN1,5.0,2019-12-11 16:10:37.316163-05:00,1.9833333333333334
3,YUS,GCN1,5,North,0,147,2019-12-11 16:10:37.316163-05:00,CVL1,6.0,2019-12-11 16:12:10.920605700-05:00,1.55
3,YUS,GCN1,5,North,0,147,2019-12-11 16:10:37.316163-05:00,CVL1,6.0,2019-12-11 16:12:10.920605700-05:00,1.55
4,YUS,CVL1,6,North,0,147,2019-12-11 16:12:10.920605700-05:00,SCW1,7.0,2019-12-11 16:15:37.321853-05:00,3.433333333333333
4,YUS,CVL1,6,North,0,147,2019-12-11 16:12:10.920605700-05:00,SCW1,7.0,2019-12-11 16:15:37.321853-05:00,3.433333333333333
5,YUS,SCW1,7,North,0,147,2019-12-11 16:15:37.321853-05:00,DUP1,8.0,2019-12-11 16:18:18.564165660-05:00,2.683333333333333
5,YUS,SCW1,7,North,0,147,2019-12-11 16:15:37.321853-05:00,DUP1,8.0,2019-12-11 16:18:18.564165660-05:00,2.683333333333333
6,YUS,DUP1,8,North,0,147,2019-12-11 16:18:18.564165660-05:00,SPA1,9.0,2019-12-11 16:19:37.566849-05:00,1.3166666666666667
6,YUS,DUP1,8,North,0,147,2019-12-11 16:18:18.564165660-05:00,SPA1,9.0,2019-12-11 16:19:37.566849-05:00,1.3166666666666667
7,YUS,SPA1,9,North,0,147,2019-12-11 16:19:37.566849-05:00,SGU1,10.0,2019-12-11 16:21:37.437184-05:00,1.9833333333333334
7,YUS,SPA1,9,North,0,147,2019-12-11 16:19:37.566849-05:00,SGU1,10.0,2019-12-11 16:21:37.437184-05:00,1.9833333333333334
8,YUS,SGU1,10,North,0,147,2019-12-11 16:21:37.437184-05:00,MUS1,11.0,2019-12-11 16:23:37.737431-05:00,2.0
8,YUS,SGU1,10,North,0,147,2019-12-11 16:21:37.437184-05:00,MUS1,11.0,2019-12-11 16:23:37.737431-05:00,2.0
9,YUS,MUS1,11,North,0,147,2019-12-11 16:23:37.737431-05:00,QPK1,12.0,2019-12-11 16:24:37.593515-05:00,0.9833333333333333
9,YUS,MUS1,11,North,0,147,2019-12-11 16:23:37.737431-05:00,QPK1,12.0,2019-12-11 16:24:37.593515-05:00,0.9833333333333333
10,YUS,QPK1,12,North,0,147,2019-12-11 16:24:37.593515-05:00,STP1,13.0,2019-12-11 16:26:37.784177-05:00,2.0
10,YUS,QPK1,12,North,0,147,2019-12-11 16:24:37.593515-05:00,STP1,13.0,2019-12-11 16:26:37.784177-05:00,2.0
11,YUS,STP1,13,North,0,147,2019-12-11 16:26:37.784177-05:00,OSG1,14.0,2019-12-11 16:27:24.604423900-05:00,0.7666666666666667
11,YUS,STP1,13,North,0,147,2019-12-11 16:26:37.784177-05:00,OSG1,14.0,2019-12-11 16:27:24.604423900-05:00,0.7666666666666667
12,YUS,OSG1,14,North,0,147,2019-12-11 16:27:24.604423900-05:00,STA1,15.0,2019-12-11 16:28:37.504199-05:00,1.2
12,YUS,OSG1,14,North,0,147,2019-12-11 16:27:24.604423900-05:00,STA1,15.0,2019-12-11 16:28:37.504199-05:00,1.2
13,YUS,STA1,15,North,0,147,2019-12-11 16:28:37.504199-05:00,UNI1,16.0,2019-12-11 16:29:37.657772-05:00,1.0
13,YUS,STA1,15,North,0,147,2019-12-11 16:28:37.504199-05:00,UNI1,16.0,2019-12-11 16:29:37.657772-05:00,1.0
14,YUS,UNI1,16,North,0,147,2019-12-11 16:29:37.657772-05:00,KNG1,17.0,2019-12-11 16:31:37.462193-05:00,1.9833333333333334
14,YUS,UNI1,16,North,0,147,2019-12-11 16:29:37.657772-05:00,KNG1,17.0,2019-12-11 16:31:37.462193-05:00,1.9833333333333334
15,YUS,KNG1,17,North,0,147,2019-12-11 16:31:37.462193-05:00,QUN1,18.0,2019-12-11 16:32:37.777554-05:00,1.0
15,YUS,KNG1,17,North,0,147,2019-12-11 16:31:37.462193-05:00,QUN1,18.0,2019-12-11 16:32:37.777554-05:00,1.0
16,YUS,QUN1,18,North,0,147,2019-12-11 16:32:37.777554-05:00,DUN1,19.0,2019-12-11 16:33:37.760572-05:00,0.9833333333333333
16,YUS,QUN1,18,North,0,147,2019-12-11 16:32:37.777554-05:00,DUN1,19.0,2019-12-11 16:33:37.760572-05:00,0.9833333333333333
