index,subwayline,station_char_o,stationid_o,traindirection,trip,trainid,estimated_arrival_o,station_char_d,stationid_d,estimated_arrival_d,cost
0,YUS,FIW2,76,South,0,123,2019-12-27 20:02:37.337939-05:00,YUN2,77.0,2019-12-27 20:04:44.622617-05:00,2.1166666666666667
0,YUS,FIW2,76,South,0,123,2019-12-27 20:02:37.337939-05:00,YUN2,77.0,2019-12-27 20:04:44.622617-05:00,2.1166666666666667
33,YUS,FIW2,76,South,2,123,2019-12-27 22:42:47.282169440-05:00,YUN2,77.0,2019-12-27 22:45:37.335231-05:00,2.8333333333333335
1,YUS,YUN2,77,South,0,123,2019-12-27 20:04:44.622617-05:00,PVL2,78.0,2019-12-27 20:06:38.089810-05:00,1.8833333333333333
1,YUS,YUN2,77,South,0,123,2019-12-27 20:04:44.622617-05:00,PVL2,78.0,2019-12-27 20:06:38.089810-05:00,1.8833333333333333
34,YUS,YUN2,77,South,2,123,2019-12-27 22:45:37.335231-05:00,PVL2,78.0,2019-12-27 22:47:37.488642-05:00,2.0
2,YUS,PVL2,78,South,0,123,2019-12-27 20:06:38.089810-05:00,HWY2,79.0,2019-12-27 20:08:37.404926-05:00,1.9833333333333334
2,YUS,PVL2,78,South,0,123,2019-12-27 20:06:38.089810-05:00,HWY2,79.0,2019-12-27 20:08:37.404926-05:00,1.9833333333333334
35,YUS,PVL2,78,South,2,123,2019-12-27 22:47:37.488642-05:00,HWY2,79.0,2019-12-27 22:49:37.736080-05:00,2.0
3,YUS,HWY2,79,South,0,123,2019-12-27 20:08:37.404926-05:00,VMC2,80.0,2019-12-27 20:13:37.831601-05:00,5.0
3,YUS,HWY2,79,South,0,123,2019-12-27 20:08:37.404926-05:00,VMC2,80.0,2019-12-27 20:13:37.831601-05:00,5.0
36,YUS,HWY2,79,South,2,123,2019-12-27 22:49:37.736080-05:00,VMC1,80.0,2019-12-27 22:53:39.750135900-05:00,4.033333333333333
0,YUS,FIN2,32,South,2,123,2019-12-27 21:36:53.622845-05:00,NYC2,31.0,2019-12-27 21:41:59.504149-05:00,5.083333333333333
1,YUS,NYC2,31,South,2,123,2019-12-27 21:41:59.504149-05:00,SHP2,64.0,2019-12-27 21:43:45.056324-05:00,1.75
2,YUS,SHP2,64,South,2,123,2019-12-27 21:43:45.056324-05:00,YKM2,29.0,2019-12-27 21:46:12.809645740-05:00,2.45
