id,route,stop_sequence_new,sequence,hr,min,INT_ID
160484162,301,1,1,4,1,13463652.0
160484162,301,2,2,4,2,13463494.0
160484162,301,3,5,4,4,13463118.0
160484162,301,4,7,4,5,13462856.0
160484162,301,5,8,4,6,13462722.0
160484478,301,1,1,4,0,13470434.0
160484478,301,2,2,4,1,13470452.0
160484478,301,3,3,4,2,13470475.0
160484478,301,4,4,4,2,13470504.0
160484478,301,5,5,4,2,13470520.0
160484478,301,6,6,4,3,13470536.0
160484478,301,7,7,4,4,13470566.0
160484478,301,8,8,4,5,13470639.0
160484478,301,9,9,4,6,13470664.0
160484478,301,10,10,4,7,13470690.0
160484803,300,1,1,4,0,13468572.0
160484803,300,2,2,4,2,13468356.0
160484803,300,3,3,4,3,13468541.0
160484803,300,4,4,4,4,13468614.0
160484803,300,5,5,4,4,13468751.0
160484810,301,1,1,4,0,13465894.0
160484810,301,2,2,4,1,13465795.0
160484810,301,3,3,4,2,13465673.0
160484810,301,4,4,4,2,13465571.0
160484810,301,5,5,4,3,13465478.0
160484810,301,6,6,4,4,13465313.0
160484810,301,7,7,4,4,13465231.0
160484810,301,8,8,4,6,13465109.0
160484810,301,9,9,4,6,13465017.0
160484810,301,10,10,4,7,13464948.0
160484810,301,11,11,4,8,13464855.0
160484810,301,12,12,4,9,13464771.0
160484810,301,13,13,4,9,13464709.0
160484810,301,14,14,4,10,13464614.0
160484836,36,1,2,4,1,13446724.0
160484836,36,2,3,4,2,13446513.0
160484836,36,3,4,4,2,13446359.0
160484836,36,4,5,4,3,116.0
160485052,301,1,1,4,1,13466199.0
160485052,301,2,2,4,1,13466110.0
160485052,301,3,3,4,2,13465979.0
160485052,301,4,4,4,3,13465894.0
160485052,301,5,5,4,3,13465795.0
160485052,301,6,6,4,5,13465673.0
160485052,301,7,7,4,5,13465571.0
160485052,301,8,8,4,5,13465478.0
160485052,301,9,9,4,6,13465313.0
160485052,301,10,10,4,7,13465231.0
160485052,301,11,11,4,8,13465109.0
160485052,301,12,12,4,9,13465017.0
160485052,301,13,13,4,9,13464948.0
160485052,301,14,14,4,10,13464855.0
160485052,301,15,15,4,11,13464771.0
160485052,301,16,16,4,12,13464709.0
160485052,301,17,17,4,12,13464614.0
160485052,301,18,18,4,13,13464498.0
160485052,301,19,20,4,14,13464286.0
160485052,301,20,22,4,17,13463942.0
160485052,301,21,23,4,19,13463787.0
160485052,301,22,24,4,20,13463652.0
160485052,301,23,25,4,20,13463494.0
160485052,301,24,28,4,24,13463118.0
160485052,301,25,30,4,25,13462856.0
160485052,301,26,31,4,26,13462722.0
160485074,329,1,1,4,10,14673438.0
160485079,301,1,1,4,2,13468786.0
160485079,301,2,2,4,2,13468605.0
160485079,301,3,3,4,3,13468559.0
160485079,301,4,4,4,4,13468360.0
160485079,301,5,5,4,4,13468437.0
160485079,301,6,6,4,4,13468370.0
160485079,301,7,7,4,5,13468436.0
160485079,301,8,10,4,8,13468216.0
160485079,301,9,11,4,9,13468148.0
160485079,301,10,12,4,10,13468080.0
160485079,301,11,13,4,10,13467983.0
160485079,301,12,15,4,11,13467882.0
160485079,301,13,16,4,11,13467817.0
160485079,301,14,17,4,12,13467715.0
160485079,301,15,18,4,13,13467650.0
160485104,306,1,1,4,2,13466754.0
160485104,306,2,2,4,2,13466677.0
160485104,306,3,3,4,3,13466531.0
160485104,306,4,4,4,4,13466258.0
160485104,306,5,6,4,6,208.0
160485154,304,1,1,4,0,13466258.0
160485154,304,2,3,4,3,208.0
160485245,352,1,1,4,0,13460075.0
160485245,352,2,2,4,1,13460180.0
160485245,352,3,3,4,1,13460340.0
160485245,352,4,4,4,3,13460801.0
160485245,352,5,5,4,4,13461025.0
160485245,352,6,6,4,4,13461072.0
160485416,300,1,1,4,2,13468356.0
160485416,300,2,2,4,3,13468541.0
160485416,300,3,3,4,3,13468614.0
160485416,300,4,4,4,4,13468751.0
160485416,300,5,5,4,5,13468898.0
160485416,300,6,7,4,6,13468530.0
160485416,300,7,8,4,6,13468202.0
160485416,300,8,9,4,7,13467918.0
160485434,300,1,1,4,1,215.0
160485434,300,2,2,4,1,13463747.0
160485434,300,3,3,4,2,156.0
160485434,300,4,5,4,3,214.0
160485434,300,5,7,4,5,213.0
160485434,300,6,10,4,6,212.0
160485434,300,7,12,4,8,211.0
160485434,300,8,13,4,9,13465043.0
160485434,300,9,15,4,10,210.0
160485434,300,10,17,4,12,209.0
160485434,300,11,18,4,13,13465705.0
160485434,300,12,19,4,14,208.0
160485434,300,13,20,4,15,207.0
160485434,300,14,21,4,16,206.0
160485434,300,15,24,4,17,205.0
160485434,300,16,26,4,18,203.0
160485434,300,17,29,4,20,13466999.0
160485434,300,18,30,4,20,13467131.0
160485434,300,19,31,4,21,13467231.0
160485434,300,20,32,4,22,202.0
160485434,300,21,36,4,25,201.0
160485434,300,22,38,4,29,13468572.0
160485434,300,23,39,4,31,13468356.0
160485434,300,24,40,4,32,13468457.0
160485434,300,25,41,4,32,13468541.0
160485434,300,26,42,4,33,13468614.0
160485488,320,1,1,4,1,13444838.0
160485488,320,2,2,4,1,13444082.0
160485488,320,3,3,4,2,13443870.0
160485488,320,4,4,4,3,13443782.0
160485489,334,1,1,4,0,13446901.0
160485489,334,2,2,4,1,13446607.0
160485489,334,3,3,4,1,13446348.0
160485489,334,4,5,4,2,13445039.0
