"station1","station2","platform1_end_time","platform2_start_time","year","month","day","hour"
lawrence_east,kennedy,2019-12-28 23:51:18.485,2019-12-28 23:55:26.171,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:15:26.777,2019-12-28 23:20:17.936,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:16:49.332,2019-12-28 23:26:00.427,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:16:59.134,2019-12-28 23:25:53.378,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:38:59.821,2019-12-28 23:48:08.199,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:51:09.172,2019-12-28 23:58:53.552,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:00:56.615,2019-12-28 23:10:01.999,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:42:17.682,2019-12-28 23:54:18.013,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:44:29.283,2019-12-28 23:52:19.556,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:43:25.283,2019-12-28 23:53:20.147,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:39:54.670,2019-12-28 23:48:54.951,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:15:10.645,2019-12-28 23:20:11.616,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:58:12.201,2019-12-29 00:02:22.433,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:26:18.424,2019-12-28 23:39:16.075,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:12:43.306,2019-12-28 23:17:30.222,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:31:43.139,2019-12-28 23:35:53.616,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:31:07.098,2019-12-28 23:39:07.318,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:15:18.117,2019-12-28 23:21:42.061,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:15:22.862,2019-12-28 23:20:08.213,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:31:08.501,2019-12-28 23:35:30.210,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:54:46.057,2019-12-29 00:05:54.820,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:58:41.461,2019-12-29 00:03:35.520,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:05:01.402,2019-12-28 23:09:19.876,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:59:47.439,2019-12-29 00:10:03.641,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:39:24.646,2019-12-28 23:52:13.411,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:57:04.217,2019-12-29 00:05:47.293,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:50:48.603,2019-12-28 23:58:26.940,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:43:27.094,2019-12-29 00:06:14.974,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:54:24.965,2019-12-29 00:06:04.128,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:01:57.176,2019-12-28 23:12:20.362,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:51:41.366,2019-12-28 23:55:58.315,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:31:25.739,2019-12-28 23:35:48.618,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:54:30.353,2019-12-29 00:06:13.045,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:57:27.307,2019-12-29 00:07:58.643,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:31:17.662,2019-12-28 23:35:56.774,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:58:25.406,2019-12-29 00:02:36.288,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:28:12.062,2019-12-28 23:38:59.293,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:31:08.871,2019-12-28 23:37:14.392,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:39:23.756,2019-12-28 23:45:35.546,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:39:14.243,2019-12-28 23:43:48.275,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:31:25.443,2019-12-28 23:35:38.490,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:55:12.891,2019-12-29 00:07:09.547,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:50:45.932,2019-12-28 23:59:00.568,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:25:20.201,2019-12-28 23:31:06.652,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:23:16.171,2019-12-28 23:31:17.421,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:25:42.600,2019-12-28 23:35:11.056,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:51:13.240,2019-12-28 23:57:38.648,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:23:00.265,2019-12-28 23:32:10.404,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:31:26.118,2019-12-28 23:40:04.451,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:43:54.199,2019-12-28 23:51:10.525,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:06:13.407,2019-12-28 23:17:48.376,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:24:06.275,2019-12-28 23:28:00.644,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:59:01.741,2019-12-29 00:10:06.479,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:16:54.371,2019-12-28 23:31:29.804,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:11:46.783,2019-12-28 23:43:50.011,2019,12,28,23
lawrence_east,kennedy,2019-12-28 23:18:06.267,2019-12-28 23:21:48.886,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:01:45.108,2019-12-28 23:13:37.919,2019,12,28,23
kennedy,lawrence_east,2019-12-28 23:09:42.704,2019-12-28 23:20:23.169,2019,12,28,23
lawrence_east,kennedy,2019-12-13 10:59:58.113,2019-12-13 11:03:55.058,2019,12,13,10
kennedy,lawrence_east,2019-12-13 10:56:27.292,2019-12-13 11:01:49.771,2019,12,13,10
lawrence_east,kennedy,2019-12-13 10:53:13.744,2019-12-13 10:58:28.171,2019,12,13,10
lawrence_east,kennedy,2019-12-13 10:53:16.400,2019-12-13 10:58:26.647,2019,12,13,10
lawrence_east,kennedy,2019-12-13 10:53:37.019,2019-12-13 10:59:25.502,2019,12,13,10
lawrence_east,kennedy,2019-12-13 10:51:23.128,2019-12-13 10:59:04.395,2019,12,13,10
lawrence_east,kennedy,2019-12-13 10:50:07.755,2019-12-13 10:59:09.580,2019,12,13,10
kennedy,lawrence_east,2019-12-20 14:13:49.132,2019-12-20 14:18:30.547,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:08:30.046,2019-12-20 14:13:19.955,2019,12,20,14
kennedy,lawrence_east,2019-12-20 14:13:43.188,2019-12-20 14:18:51.607,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:08:38.748,2019-12-20 14:14:16.350,2019,12,20,14
kennedy,lawrence_east,2019-12-20 14:38:06.824,2019-12-20 14:44:57.188,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:08:37.355,2019-12-20 14:12:46.055,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:34:14.121,2019-12-20 14:42:12.757,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:21:00.127,2019-12-20 14:25:30.622,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:20:10.791,2019-12-20 14:25:02.018,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:26:08.815,2019-12-20 14:30:08.383,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:41:53.599,2019-12-20 14:48:25.285,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:33:16.963,2019-12-20 14:38:20.054,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:21:17.534,2019-12-20 14:26:10.839,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:53:03.679,2019-12-20 15:05:29.682,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:43:04.140,2019-12-20 14:51:18.350,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:21:03.577,2019-12-20 14:30:07.384,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:32:00.390,2019-12-20 14:38:37.596,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:55:34.951,2019-12-20 15:04:10.720,2019,12,20,14
kennedy,lawrence_east,2019-12-20 14:24:13.103,2019-12-20 14:33:03.474,2019,12,20,14
kennedy,lawrence_east,2019-12-20 14:03:52.703,2019-12-20 14:08:17.843,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:02:05.408,2019-12-20 14:06:53.734,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:05:55.842,2019-12-20 14:13:20.149,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:33:32.285,2019-12-20 14:38:33.288,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:16:51.101,2019-12-20 14:20:50.839,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:42:57.747,2019-12-20 14:47:29.827,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:33:25.481,2019-12-20 14:39:09.224,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:16:31.502,2019-12-20 14:21:27.736,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:02:09.410,2019-12-20 14:07:01.306,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:02:11.457,2019-12-20 14:07:45.169,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:43:05.782,2019-12-20 14:47:10.300,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:08:39.223,2019-12-20 14:14:11.663,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:16:43.796,2019-12-20 14:20:42.673,2019,12,20,14
kennedy,lawrence_east,2019-12-20 14:54:45.472,2019-12-20 15:00:02.494,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:33:33.248,2019-12-20 14:37:34.758,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:53:11.181,2019-12-20 14:57:04.268,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:20:59.230,2019-12-20 14:26:10.082,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:16:29.863,2019-12-20 14:20:56.459,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:01:14.463,2019-12-20 14:06:00.751,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:36:19.895,2019-12-20 14:42:22.603,2019,12,20,14
kennedy,lawrence_east,2019-12-20 14:24:29.396,2019-12-20 14:33:01.226,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:16:40.370,2019-12-20 14:21:43.501,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:08:24.448,2019-12-20 14:12:54.358,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:11:56.075,2019-12-20 14:15:58.138,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:01:44.751,2019-12-20 14:05:51.293,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:01:52.803,2019-12-20 14:06:23.712,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:12:07.130,2019-12-20 14:17:13.441,2019,12,20,14
kennedy,lawrence_east,2019-12-20 14:16:27.105,2019-12-20 14:23:14.080,2019,12,20,14
kennedy,lawrence_east,2019-12-20 14:24:23.866,2019-12-20 14:33:24.390,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:43:23.136,2019-12-20 14:48:58.421,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:11:03.143,2019-12-20 14:16:00.731,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:21:08.427,2019-12-20 14:26:00.749,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:21:01.940,2019-12-20 14:26:18.497,2019,12,20,14
kennedy,lawrence_east,2019-12-20 14:03:16.266,2019-12-20 14:08:30.754,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:11:44.656,2019-12-20 14:16:30.235,2019,12,20,14
kennedy,lawrence_east,2019-12-20 14:48:44.102,2019-12-20 14:54:16.244,2019,12,20,14
kennedy,lawrence_east,2019-12-20 14:24:03.071,2019-12-20 14:33:01.854,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:59:25.361,2019-12-20 15:04:55.263,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:33:14.453,2019-12-20 14:38:19.780,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:02:04.785,2019-12-20 14:06:22.310,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:47:33.585,2019-12-20 14:52:43.507,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:26:42.196,2019-12-20 14:31:29.032,2019,12,20,14
kennedy,lawrence_east,2019-12-20 14:32:46.770,2019-12-20 14:41:18.475,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:47:36.039,2019-12-20 14:51:54.590,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:48:09.361,2019-12-20 14:52:05.338,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:59:59.149,2019-12-20 15:03:57.703,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:38:32.317,2019-12-20 14:43:50.303,2019,12,20,14
kennedy,lawrence_east,2019-12-20 14:48:07.285,2019-12-20 14:54:19.370,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:38:22.502,2019-12-20 14:42:14.373,2019,12,20,14
kennedy,lawrence_east,2019-12-20 14:56:06.802,2019-12-20 14:59:38.680,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:48:05.269,2019-12-20 14:52:32.563,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:59:18.341,2019-12-20 15:04:15.322,2019,12,20,14
lawrence_east,kennedy,2019-12-20 14:21:20.121,2019-12-20 14:25:38.811,2019,12,20,14
