date,period,total,non_seq,long_link,short_link,error,rate
2019-12-27,AM,13570,214,0,2,216,1.59
2019-12-09,AM,13610,207,0,0,207,1.52
2019-12-05,AM,15231,230,0,10,240,1.58
2019-12-02,AM,10731,262,0,9,271,2.53
2019-11-29,AM,12082,242,0,0,242,2.0
2019-12-16,AM,14761,236,0,0,236,1.6
2019-12-04,AM,13431,264,0,1,265,1.97
2019-12-18,AM,14368,276,0,8,284,1.98
2019-12-10,AM,14952,212,0,3,215,1.44
2019-12-17,AM,15746,202,0,9,211,1.34
2019-12-06,AM,15383,245,0,0,245,1.59
2019-12-11,AM,15563,227,0,7,234,1.5
2019-12-03,AM,13315,259,0,0,259,1.95
2019-12-19,AM,12968,242,0,7,249,1.92
2019-12-13,AM,14766,228,0,0,228,1.54
2019-11-28,AM,12375,333,0,2,335,2.71
2019-12-23,AM,14860,233,0,1,234,1.57
2019-12-20,AM,13754,174,0,0,174,1.27
2019-12-12,AM,13782,334,0,8,342,2.48
2019-12-30,AM,12068,261,0,0,261,2.16
2019-12-27,EM,4719,136,0,3,139,2.95
2019-12-09,EM,6379,141,0,1,142,2.23
2019-12-05,EM,5400,139,0,3,142,2.63
2019-12-02,EM,3172,101,0,1,102,3.22
2019-11-29,EM,5233,109,0,1,110,2.1
2020-01-03,AM,13740,228,0,1,229,1.67
2019-12-16,EM,4614,98,0,0,98,2.12
2019-12-04,EM,3701,120,0,0,120,3.24
2019-12-18,EM,4815,98,0,1,99,2.06
2019-12-10,EM,4740,117,0,4,121,2.55
2019-12-17,EM,5167,133,0,1,134,2.59
2019-12-06,EM,4825,142,0,2,144,2.98
2019-12-11,EM,5267,104,0,1,105,1.99
2019-12-03,EM,5166,112,0,0,112,2.17
2019-12-19,EM,4904,117,0,0,117,2.39
2019-12-13,EM,4873,79,0,0,79,1.62
2019-11-28,EM,5351,132,0,0,132,2.47
2019-12-23,EM,5940,119,0,0,119,2.0
2019-12-20,EM,4646,52,0,0,52,1.12
2019-12-12,EM,5747,172,0,3,175,3.05
2019-12-30,EM,5373,99,0,0,99,1.84
2019-12-27,MD,12194,149,0,1,150,1.23
2019-12-09,MD,10625,184,0,3,187,1.76
2019-12-05,MD,13081,245,0,3,248,1.9
2019-12-02,MD,12742,265,0,3,268,2.1
2019-11-29,MD,13574,164,0,1,165,1.22
2020-01-02,AM,14841,218,0,11,229,1.54
2019-12-16,MD,14171,264,0,1,265,1.87
2019-12-04,MD,13409,216,0,5,221,1.65
2019-12-18,MD,14526,196,0,2,198,1.36
2019-12-10,MD,13004,191,0,0,191,1.47
2019-12-17,MD,14685,155,0,0,155,1.06
2019-12-06,MD,13417,281,0,0,281,2.09
2019-12-11,MD,13122,262,0,4,266,2.03
2019-12-03,MD,13409,184,0,5,189,1.41
2019-12-19,MD,11954,288,0,2,290,2.43
2019-12-13,MD,13023,311,0,1,312,2.4
2019-11-28,MD,13031,182,0,4,186,1.43
2019-12-23,MD,12807,198,0,0,198,1.55
2019-12-20,MD,13441,152,0,4,156,1.16
2019-12-12,MD,12819,321,2,12,335,2.61
2019-12-30,MD,12630,259,0,1,260,2.06
2019-12-27,PM,14873,219,0,9,228,1.53
2019-12-09,PM,14872,243,0,6,249,1.67
2019-12-05,PM,16042,242,0,4,246,1.53
2019-12-02,PM,15009,233,0,3,236,1.57
2019-11-29,PM,15360,191,0,5,196,1.28
2019-12-16,PM,16037,248,0,5,253,1.58
2019-12-04,PM,14205,334,0,3,337,2.37
2019-12-18,PM,15438,157,0,2,159,1.03
2019-12-10,PM,15642,227,0,2,229,1.46
2019-12-17,PM,15767,139,0,2,141,0.89
2019-12-06,PM,15986,262,0,9,271,1.7
2019-12-11,PM,16141,261,0,13,274,1.7
2019-12-03,PM,16100,213,0,2,215,1.34
2019-12-19,PM,15090,224,4,1,229,1.52
2019-12-13,PM,15431,265,0,5,270,1.75
2019-11-28,PM,14928,191,0,2,193,1.29
2019-12-23,PM,15586,238,0,6,244,1.57
2019-12-20,PM,15308,200,0,3,203,1.33
2019-12-12,PM,15213,274,0,17,291,1.91
2019-12-30,PM,15721,338,0,12,350,2.23
2019-12-27,EV,9863,183,0,7,190,1.93
2019-12-09,EV,9080,179,0,5,184,2.03
2019-12-05,EV,9193,208,0,2,210,2.28
2019-12-02,EV,8958,170,0,11,181,2.02
2019-11-29,EV,9083,182,0,6,188,2.07
2020-01-03,EM,4880,115,0,0,115,2.36
2019-12-16,EV,9543,191,0,0,191,2.0
2019-12-04,EV,8032,164,0,7,171,2.13
2019-12-18,EV,8875,158,0,17,175,1.97
2019-12-10,EV,8883,195,0,2,197,2.22
2019-12-17,EV,8516,134,0,1,135,1.59
2019-12-06,EV,8991,289,0,6,295,3.28
2019-12-11,EV,8904,186,0,6,192,2.16
2019-12-03,EV,9725,150,0,3,153,1.57
2019-12-19,EV,8414,127,0,2,129,1.53
2019-12-13,EV,8926,184,0,5,189,2.12
2019-11-28,EV,8706,144,0,1,145,1.67
2019-12-23,EV,9403,248,0,1,249,2.65
2019-12-20,EV,8045,187,0,9,196,2.44
2019-12-12,EV,9257,209,0,7,216,2.33
2019-12-30,EV,9109,233,0,3,236,2.59
2020-01-02,EM,5213,101,0,2,103,1.98
2020-01-03,MD,12785,187,0,5,192,1.5
2020-01-02,MD,13398,216,0,4,220,1.64
2020-01-03,PM,15507,218,0,1,219,1.41
2020-01-02,PM,14714,176,0,4,180,1.22
2020-01-03,EV,8846,197,0,3,200,2.26
2020-01-02,EV,9145,149,0,1,150,1.64
