station_char,station_name,traindirection,stationid,lineid,sequence,INT_ID
VMC1,Vaughan N,North,80,1,1,171
VMC2,Vaughan S,South,80,1,1,171
HWY1,Highway 407 N,North,79,1,2,170
HWY2,Highway 407 N,South,79,1,2,170
PVL1,Pioneer Village N,North,78,1,3,169
PVL2,Pioneer Village S,South,78,1,3,169
YUN1,York University N,North,77,1,4,168
YUN2,York University S,South,77,1,4,168
FIW1,Finch West N,North,76,1,5,167
FIW2,Finch West S,South,76,1,5,167
DNP1,Downsview Park N,North,75,1,6,166
DNP2,Downsview Park S,South,75,1,6,166
SHW1,Sheppard West N,North,1,1,7,165
SHW2,Sheppard West S,South,1,1,7,165
WIL1,Wilson N,North,2,1,8,164
WIL2,Wilson S,South,2,1,8,164
YKD1,Yorkdale N,North,3,1,9,163
YKD2,Yorkdale S,South,3,1,9,163
LWW1,Lawrence West N,North,4,1,10,162
LWW2,Lawrence West S,South,4,1,10,162
GCN1,Glencairn N,North,5,1,11,161
GCN2,Glencairn S,South,5,1,11,161
CVL1,Eglinton West N,North,6,1,12,160
CVL2,Eglinton West S,South,6,1,12,160
SCW1,St Clair West N,North,7,1,13,159
SCW2,St Clair West S,South,7,1,13,159
DUP1,Dupont N,North,8,1,14,158
DUP2,Dupont S,South,8,1,14,158
SPA1,Spadina N,North,9,1 and 2,15,157
SPA2,Spadina S,South,9,1 and 2,15,157
SGU1,St George N,North,10,1 and 2,16,156
SGU2,St George S,South,10,1 and 2,16,156
MUS1,Museum N,North,11,1,17,155
MUS2,Museum S,South,11,1,17,155
QPK1,Queen's Park N,North,12,1,18,154
QPK2,Queen's Park S,South,12,1,18,154
STP1,St Patrick N,North,13,1,19,153
STP2,St Patrick S,South,13,1,19,153
OSG1,Osgoode N,North,14,1,20,152
OSG2,Osgoode S,South,14,1,20,152
STA1,St Andrew N,North,15,1,21,151
STA2,St Andrew S,South,15,1,21,151
UNI1,Union N,North,16,1,22,100
UNI2,Union S,South,16,1,22,100
KNG1,King N,North,17,1,23,101
KNG2,King S,South,17,1,23,101
QUN1,Queen N,North,18,1,24,102
QUN2,Queen S,South,18,1,24,102
DUN1,Dundas N,North,19,1,25,103
DUN2,Dundas S,South,19,1,25,103
COL1,College N,North,20,1,26,104
COL2,College S,South,20,1,26,104
WEL1,Wellesley N,North,21,1,27,105
WEL2,Wellesley S,South,21,1,27,105
BLO1,Bloor-Yonge N,North,22 and 50,1 and 2,28,106
BLO2,Bloor-Yonge S,South,22 and 50,1 and 2,28,106
ROS1,Rosedale N,North,23,1,29,107
ROS2,Rosedale S,South,23,1,29,107
SUM1,Summerhill N,North,24,1,30,108
SUM2,Summerhill S,South,24,1,30,108
STC1,St Clair N,North,25,1,31,109
STC2,St Clair S,South,25,1,31,109
DAV1,Davisville N,North,26,1,32,110
DAV2,Davisville S,South,26,1,32,110
