origin,destination,type,total
1,18,raw_am,15
1,35,raw_am,14
1,57,raw_am,20
1,68,raw_am,14
1,212,raw_am,8
1,253,raw_md,12
1,272,raw_ev,9
1,275,lico_am,34
1,275,raw_am,34
1,548,raw_pm,9
1,566,raw_am,20
2,72,raw_md,14
2,223,lico_am,38
2,223,raw_am,38
2,282,raw_am,16
3,98,raw_am,7
3,247,raw_am,43
3,263,raw_am,14
3,270,lico_ev,39
3,270,raw_ev,39
3,534,raw_am,28
3,572,raw_ev,68
4,21,lico_pm,30
4,21,raw_pm,30
4,96,raw_pm,6
4,118,raw_pm,8
4,166,raw_ev,9
4,166,raw_pm,6
4,251,lico_ev,67
4,251,raw_ev,67
4,274,raw_pm,10
5,17,raw_pm,13
5,65,raw_am,15
5,116,raw_pm,26
5,250,raw_ev,5
5,259,raw_pm,14
5,453,raw_pm,48
6,66,raw_ev,18
6,264,lico_pm,102
6,264,raw_pm,102
6,276,raw_pm,36
6,452,raw_pm,10
6,495,raw_ev,39
6,582,lico_ev,18
6,582,raw_ev,18
10,55,raw_pm,29
11,107,raw_md,53
11,179,lico_pm,31
11,179,raw_pm,31
14,25,lico_md,7
14,25,raw_md,7
14,26,raw_pm,17
14,38,raw_md,7
14,57,raw_am,22
14,59,raw_pm,34
14,211,raw_am,14
14,221,raw_am,14
14,251,raw_pm,9
14,601,raw_am,19
15,36,raw_am,30
15,36,raw_pm,8
15,37,raw_am,12
15,49,raw_am,13
15,49,raw_md,17
15,52,lico_md,12
15,52,raw_am,16
15,52,raw_md,12
15,54,raw_am,14
15,56,raw_am,24
15,57,raw_am,14
15,60,raw_am,14
15,65,raw_am,13
15,67,raw_am,14
15,67,raw_ev,9
15,69,raw_am,16
15,71,raw_pm,5
15,74,raw_am,22
15,75,raw_am,26
15,90,raw_pm,15
15,106,raw_ev,8
15,107,raw_am,10
15,121,lico_pm,10
15,121,raw_pm,10
15,171,raw_pm,95
15,180,raw_am,4
15,196,raw_pm,22
15,224,raw_pm,21
15,243,raw_am,14
15,271,raw_ev,5
15,347,raw_pm,9
15,404,lico_ev,5
15,404,raw_ev,5
15,440,raw_ev,27
15,537,lico_pm,24
15,537,raw_pm,24
15,586,raw_pm,40
16,16,raw_md,17
16,25,raw_md,8
16,36,raw_md,14
16,40,lico_ev,9
16,40,raw_ev,9
16,44,raw_am,25
16,51,raw_am,21
16,52,lico_md,6
16,52,raw_md,6
16,53,raw_am,7
16,54,raw_am,12
16,55,raw_am,41
16,56,raw_md,7
16,60,raw_am,21
16,65,raw_am,9
16,66,raw_pm,33
16,67,lico_md,21
16,67,raw_am,12
16,67,raw_md,21
16,68,lico_md,32
16,68,raw_am,55
16,68,raw_md,32
16,78,raw_md,10
16,84,raw_pm,19
16,89,raw_am,13
16,89,raw_pm,58
16,93,raw_md,7
16,107,raw_pm,22
16,109,raw_md,20
16,132,raw_pm,14
16,167,raw_pm,7
16,185,lico_am,6
16,185,raw_am,6
16,203,raw_am,18
16,217,raw_pm,12
16,250,raw_pm,10
16,256,raw_am,24
16,268,lico_am,6
16,268,raw_am,6
16,313,raw_pm,19
16,336,lico_pm,11
16,336,raw_pm,11
16,391,raw_md,35
16,409,lico_am,46
16,409,raw_am,46
16,487,raw_pm,10
16,540,raw_pm,6
16,590,raw_pm,13
17,5,raw_am,13
17,17,lico_md,30
17,17,raw_md,30
17,20,lico_pm,60
17,20,raw_pm,60
17,25,lico_am,30
17,25,lico_pm,30
17,25,raw_am,30
17,25,raw_pm,30
17,37,raw_md,22
17,38,lico_pm,30
17,38,raw_pm,46
17,46,raw_am,19
17,49,raw_am,16
17,50,raw_pm,24
17,51,raw_md,23
17,52,raw_am,7
17,52,raw_pm,16
17,54,raw_am,21
17,56,raw_am,20
17,60,raw_am,5
17,63,raw_pm,15
17,65,raw_am,18
17,66,lico_am,29
17,66,raw_am,51
17,66,raw_md,18
17,66,raw_pm,23
17,67,raw_am,11
17,68,raw_am,5
17,69,raw_am,53
17,69,raw_pm,68
17,70,lico_pm,30
17,70,raw_pm,30
17,78,raw_am,79
17,78,raw_ev,29
17,89,raw_am,17
17,90,lico_am,36
17,90,raw_am,36
17,101,lico_am,90
17,101,raw_am,90
17,110,lico_pm,18
17,110,raw_pm,137
17,139,lico_md,18
17,139,raw_md,18
17,146,lico_am,22
17,146,raw_am,22
17,168,raw_am,23
17,186,raw_ev,12
17,209,raw_md,38
17,212,raw_am,28
17,217,raw_am,21
17,222,raw_am,7
17,223,raw_am,21
17,243,raw_am,23
17,262,raw_am,31
17,264,raw_am,83
17,267,raw_md,17
17,268,raw_ev,18
17,269,raw_am,30
17,270,raw_ev,13
17,271,lico_am,25
17,271,raw_am,25
17,272,raw_ev,8
17,285,raw_pm,25
17,292,lico_am,31
17,292,raw_am,31
17,356,lico_am,17
17,356,raw_am,17
17,389,lico_pm,8
17,389,raw_pm,8
17,406,lico_pm,15
17,406,raw_pm,15
17,452,raw_am,21
17,490,raw_pm,16
17,549,raw_am,14
17,566,lico_am,30
17,566,raw_am,30
18,19,lico_md,52
18,19,raw_md,52
18,21,raw_pm,6
18,22,lico_am,34
18,22,raw_am,34
18,34,raw_em,36
18,36,raw_am,7
18,38,lico_pm,34
18,38,raw_pm,55
18,43,lico_am,7
18,43,raw_am,7
18,55,raw_am,13
18,56,raw_am,5
18,68,raw_am,10
18,116,raw_am,31
18,125,raw_am,56
18,167,raw_pm,18
18,220,raw_am,11
18,257,lico_pm,32
18,257,raw_ev,39
18,257,raw_pm,32
18,258,raw_ev,15
18,274,lico_am,20
18,274,raw_am,20
18,275,lico_am,34
18,275,raw_am,34
18,394,raw_am,21
18,452,raw_pm,9
18,497,raw_pm,11
19,21,lico_ev,29
19,21,raw_ev,29
19,42,raw_ev,17
19,45,raw_md,7
19,50,raw_md,24
19,53,raw_am,5
19,56,raw_am,5
19,57,raw_am,3
19,80,raw_md,17
19,90,lico_md,18
19,90,raw_md,18
19,93,raw_am,3
19,95,lico_pm,124
19,95,raw_pm,124
19,96,lico_ev,55
19,96,raw_ev,55
19,110,lico_pm,25
19,110,raw_pm,25
19,125,raw_ev,26
19,147,raw_pm,17
19,251,lico_md,34
19,251,raw_md,34
19,264,raw_am,22
19,270,lico_am,15
19,270,raw_am,15
19,314,raw_am,4
19,494,raw_pm,39
19,520,lico_am,23
19,520,raw_am,23
20,37,raw_ev,3
20,55,raw_am,3
20,212,lico_am,35
20,212,raw_am,35
20,282,raw_pm,26
20,440,raw_pm,15
21,17,raw_pm,49
21,18,raw_pm,15
21,19,lico_pm,29
21,19,raw_pm,29
21,29,lico_am,39
21,29,raw_am,39
21,29,raw_pm,44
21,34,raw_am,18
21,35,raw_md,31
21,36,raw_am,17
21,36,raw_pm,56
21,37,raw_am,25
21,38,lico_pm,25
21,38,raw_am,16
21,38,raw_md,16
21,38,raw_pm,25
21,40,raw_pm,78
21,42,raw_am,38
21,42,raw_pm,19
21,44,raw_pm,38
21,45,lico_pm,20
21,45,raw_md,29
21,45,raw_pm,20
21,46,raw_md,21
21,47,raw_am,55
21,47,raw_pm,30
21,50,lico_md,41
21,50,raw_am,30
21,50,raw_md,41
21,51,lico_am,29
21,51,raw_am,29
21,53,raw_pm,45
21,54,raw_am,6
21,55,raw_am,51
21,56,raw_pm,39
21,57,lico_pm,35
21,57,raw_am,123
21,57,raw_pm,35
21,59,raw_pm,108
21,60,raw_pm,18
21,62,raw_md,28
21,63,raw_md,16
21,64,raw_pm,11
21,65,lico_md,31
21,65,raw_md,31
21,65,raw_pm,18
21,66,lico_am,51
21,66,raw_am,51
21,66,raw_pm,14
21,68,lico_am,44
21,68,raw_am,44
21,69,raw_am,18
21,69,raw_ev,63
21,69,raw_md,5
21,69,raw_pm,11
21,71,lico_pm,5
21,71,raw_pm,36
21,72,raw_ev,14
21,72,raw_pm,43
21,73,raw_am,20
21,73,raw_pm,34
21,75,lico_md,17
21,75,raw_md,17
21,77,raw_am,19
21,77,raw_pm,18
21,78,raw_am,17
21,84,raw_pm,22
21,89,raw_ev,18
21,89,raw_pm,68
21,90,lico_am,30
21,90,raw_am,58
21,90,raw_md,43
21,93,lico_md,73
21,93,raw_md,73
21,93,raw_pm,12
21,94,lico_ev,10
21,94,raw_ev,10
21,95,lico_md,35
21,95,raw_md,35
21,96,lico_pm,47
21,96,raw_pm,52
21,99,raw_pm,24
21,101,lico_am,18
21,101,raw_am,269
21,101,raw_pm,30
21,104,raw_pm,5
21,106,raw_pm,12
21,110,lico_pm,74
21,110,raw_pm,74
21,113,raw_pm,27
21,117,raw_pm,27
21,119,raw_ev,25
21,119,raw_pm,53
21,120,raw_pm,24
21,121,raw_ev,37
21,122,lico_pm,31
21,122,raw_pm,56
21,124,raw_pm,27
21,125,raw_pm,34
21,127,lico_md,12
21,127,raw_md,12
21,129,raw_pm,20
21,132,raw_ev,12
21,145,raw_pm,7
21,148,raw_md,4
21,161,lico_md,38
21,161,raw_md,38
21,164,raw_pm,18
21,169,raw_pm,55
21,172,lico_ev,8
21,172,raw_ev,8
21,174,raw_pm,14
21,180,lico_am,74
21,180,raw_am,74
21,180,raw_md,5
21,182,raw_am,27
21,187,lico_am,41
21,187,raw_am,41
21,196,raw_pm,19
21,201,raw_am,19
21,202,raw_pm,28
21,204,lico_pm,35
21,204,raw_pm,58
21,209,lico_am,19
21,209,raw_am,19
21,209,raw_pm,15
21,210,lico_md,31
21,210,raw_am,5
21,210,raw_md,31
21,211,lico_md,94
21,211,raw_md,150
21,211,raw_pm,21
21,214,raw_md,35
21,218,raw_am,25
21,222,lico_pm,82
21,222,raw_am,33
21,222,raw_pm,82
21,223,raw_pm,52
21,232,raw_pm,31
21,243,raw_ev,17
