DAUID,male,female,male_rac,female_rac,male_bl,female_bl,male_ab,female_ab,male_imm,female_imm
35200002,230.0,160.0,215.0,155.0,45.0,40.0,0.0,0.0,15.0,0.0
35200003,150.0,125.0,150.0,130.0,25.0,20.0,0.0,0.0,0.0,10.0
35200004,190.0,235.0,185.0,235.0,20.0,20.0,0.0,0.0,0.0,10.0
35200005,220.0,280.0,225.0,280.0,15.0,30.0,0.0,0.0,10.0,0.0
35200006,210.0,210.0,200.0,200.0,25.0,45.0,0.0,0.0,0.0,0.0
35200007,295.0,295.0,290.0,290.0,60.0,90.0,0.0,0.0,10.0,0.0
35200009,100.0,115.0,100.0,95.0,10.0,0.0,0.0,0.0,0.0,0.0
35200010,145.0,170.0,135.0,150.0,20.0,20.0,0.0,0.0,15.0,15.0
35200012,230.0,230.0,225.0,225.0,35.0,25.0,0.0,0.0,0.0,25.0
35200013,50.0,40.0,45.0,35.0,30.0,15.0,0.0,0.0,0.0,0.0
35200018,210.0,290.0,180.0,225.0,0.0,10.0,10.0,10.0,10.0,0.0
35200028,530.0,705.0,440.0,580.0,165.0,220.0,0.0,0.0,45.0,60.0
35200029,165.0,225.0,100.0,150.0,70.0,115.0,0.0,0.0,25.0,20.0
35200030,225.0,275.0,210.0,265.0,40.0,65.0,0.0,0.0,0.0,0.0
35200031,535.0,575.0,460.0,495.0,110.0,110.0,0.0,0.0,15.0,25.0
35200032,300.0,370.0,245.0,285.0,90.0,105.0,0.0,0.0,20.0,10.0
35200033,235.0,260.0,190.0,225.0,50.0,55.0,0.0,0.0,25.0,30.0
35200034,405.0,360.0,360.0,315.0,80.0,85.0,0.0,0.0,20.0,30.0
35200035,325.0,340.0,275.0,300.0,35.0,85.0,0.0,0.0,30.0,15.0
35200036,160.0,200.0,140.0,195.0,25.0,60.0,0.0,0.0,25.0,15.0
35200037,595.0,650.0,515.0,575.0,115.0,115.0,0.0,0.0,30.0,55.0
35200039,155.0,150.0,125.0,115.0,30.0,30.0,0.0,0.0,0.0,0.0
35200041,505.0,385.0,420.0,310.0,25.0,20.0,0.0,0.0,35.0,30.0
35200042,325.0,355.0,220.0,280.0,50.0,55.0,0.0,0.0,15.0,15.0
35200043,205.0,225.0,145.0,160.0,50.0,60.0,0.0,0.0,10.0,10.0
35200044,125.0,125.0,125.0,110.0,20.0,15.0,0.0,0.0,10.0,10.0
35200046,390.0,410.0,360.0,360.0,25.0,45.0,0.0,0.0,35.0,30.0
35200047,410.0,440.0,395.0,425.0,90.0,95.0,0.0,0.0,55.0,50.0
35200048,520.0,510.0,490.0,475.0,30.0,10.0,0.0,0.0,35.0,45.0
35200049,370.0,395.0,350.0,370.0,35.0,45.0,0.0,0.0,10.0,20.0
35200050,450.0,535.0,415.0,495.0,85.0,105.0,0.0,0.0,50.0,35.0
35200051,245.0,255.0,235.0,245.0,60.0,65.0,0.0,0.0,20.0,15.0
35200052,215.0,185.0,195.0,145.0,40.0,20.0,0.0,0.0,15.0,0.0
35200053,145.0,165.0,125.0,130.0,10.0,0.0,0.0,0.0,0.0,10.0
35200054,165.0,190.0,160.0,185.0,35.0,25.0,0.0,0.0,0.0,0.0
35200055,275.0,215.0,230.0,190.0,20.0,30.0,0.0,0.0,15.0,10.0
35200056,170.0,165.0,160.0,150.0,30.0,10.0,0.0,0.0,0.0,10.0
35200057,125.0,115.0,125.0,115.0,35.0,55.0,0.0,0.0,0.0,0.0
35200058,95.0,155.0,85.0,130.0,20.0,30.0,0.0,0.0,10.0,10.0
