DAUID,male,female,male_lep,female_lep
35200002,185.0,175.0,5.0,10.0
35200003,165.0,170.0,5.0,15.0
35200004,180.0,200.0,5.0,10.0
35200005,195.0,210.0,5.0,10.0
35200006,265.0,265.0,10.0,15.0
35200007,325.0,325.0,10.0,15.0
35200009,145.0,145.0,10.0,0.0
35200010,130.0,140.0,0.0,5.0
35200012,235.0,265.0,5.0,10.0
35200013,25.0,25.0,0.0,5.0
35200018,190.0,305.0,20.0,40.0
35200028,545.0,620.0,15.0,15.0
35200029,155.0,230.0,0.0,0.0
35200030,250.0,260.0,5.0,5.0
35200031,525.0,615.0,15.0,20.0
35200032,330.0,355.0,15.0,15.0
35200033,230.0,240.0,5.0,5.0
35200034,415.0,380.0,10.0,10.0
35200035,320.0,345.0,5.0,20.0
35200036,135.0,140.0,5.0,5.0
35200037,620.0,670.0,10.0,20.0
35200039,165.0,155.0,0.0,5.0
35200041,480.0,415.0,10.0,20.0
35200042,315.0,315.0,10.0,15.0
35200043,290.0,285.0,5.0,15.0
35200044,110.0,120.0,10.0,5.0
35200046,390.0,380.0,25.0,25.0
35200047,455.0,530.0,15.0,25.0
35200048,495.0,505.0,40.0,55.0
35200049,405.0,405.0,15.0,25.0
35200050,505.0,530.0,20.0,30.0
35200051,230.0,230.0,10.0,20.0
35200052,210.0,180.0,5.0,5.0
35200053,155.0,165.0,10.0,15.0
35200054,190.0,185.0,5.0,10.0
35200055,235.0,220.0,5.0,10.0
35200056,145.0,150.0,10.0,10.0
35200057,125.0,125.0,5.0,5.0
35200058,130.0,140.0,5.0,10.0
35200062,385.0,395.0,15.0,25.0
35200064,320.0,335.0,45.0,70.0
35200065,210.0,210.0,35.0,40.0
35200066,240.0,240.0,45.0,50.0
35200067,305.0,320.0,35.0,50.0
35200068,245.0,255.0,40.0,55.0
35200069,335.0,345.0,80.0,90.0
35200070,280.0,275.0,60.0,60.0
35200071,215.0,220.0,40.0,40.0
35200072,175.0,185.0,40.0,30.0
35200073,170.0,200.0,20.0,40.0
35200074,185.0,195.0,45.0,60.0
