Tue Jun 22 2021 22:37:48 GMT-0400 (EDT) - Run Time: 1213ms

Cross Tabulation Query Form - Transit - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Start time of trip - start_time

RowG:
ColG:
TblG:(1)(400-500)(2)(700-800)(3)(1100-1200)(4)(1700-1800)(5)(2000-2100)

Filters:
Regional municipality of household - region_hhld In 1
and
Regional municipality of origin - region_orig In 1
and
Regional municipality of destination - region_dest In 1
and
No. of vehicles in household - n_vehicle In 0

Tran 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : start_time (2)

  gta06_orig  gta06_dest      total
          21         361         39
          21         519         30
          21         545         19
          39         357         14
          41         423         18
          46         142         45
          62         371         12
          76          42        146
          90          60         16
         110         272         18
         110         356         43
         116         124         19
         126           6          6
         130         145         16
         131          37         50
         133         331          9
         139         211         23
         140         402         62
         143          85        100
         144         277         17
         166         218         84
         173         378         14
         173         402         31
         175          23         65
         182         544         19
         197         227         24
         200          57          5
         214          46         18
         232         378         45
         245          42         52
         249         388         30
         250          35         58
         250         275         49
         251         247          8
         263          67         32
         270          58         36
         286         114         31
         290         307         35
         313          47         12
         342         378         25
         347         285         24
         351         379         58
         353         307         23
         385         358         26
         389          38         31
         400         118         17
         401         395         33
         406          37         26
         422          38         23
         423         411         11
         424          65         25
         425          56         31
         444          56        101
         445         391         26
         464          52         11
         482         472         41
         483          70         14
         484          62         22
         506           2         28
         510          76         14
         513          90         42
         513         503         20
         515         561         18
         520          47         34
         524         141         53
         524         486         30
         531         490         40
         538          52         18
         538         388         16
         544         160         18
         562          78         14
         562         607          9
         575         243         27
         595         187          8
         606          68         10

TABLE    : start_time (4)

  gta06_orig  gta06_dest      total
           2         282         16
           3         247         43
          14         221         14
          14         601         19
          15          37         12
          15          52         16
          15          54         14
          15          60         14
          15          67         14
          15          69         16
          15          75         12
          15         107         10
          15         180          4
          15         243         14
          16          51         21
          16          54         12
          16          55         18
          16          89         13
          16         268          6
          17           5         13
          17          46         19
          17          52          7
          17          54         16
          17          66         21
          17          78         21
          17          90         36
          17         146         22
          17         168         23
          17         217         21
          17         222          7
          17         223         21
          17         243         23
          17         262         31
          17         264         83
          17         271         25
          17         292         31
          17         452         21
          18          22         34
          18          36          7
          18          43          7
          18          55         13
          18          56          5
          18         116         31
          18         220         11
          18         274         20
          18         275         34
          18         394         21
          19          57          3
          19          93          3
          19         270         15
          19         314          4
          19         520         23
          21          29         39
          21          34         18
          21          42         38
          21          47         55
          21          50         30
          21          51         29
          21          54          6
          21          55         31
          21          57        108
          21          66         51
          21          68         44
          21          73         20
          21          77         19
          21          78         17
          21          90         30
          21         101        269
          21         180         74
          21         187         41
          21         201         19
          21         209         19
          21         218         25
          21         252         28
          21         264         53
          21         269         19
          21         270         16
          21         307         18
          21         358         19
          21         387         63
          21         391         40
          21         393         33
          21         395         25
          21         415         18
          21         484         81
          21         530         16
          21         564         18
          22          23         16
          22          25         18
          22          45          6
          22          55         15
          22          65         25
          22          68         18
          22          75         12
