origin,destination,total,type
18,34,36,raw_em
21,361,39,raw_em
21,386,27,raw_em
21,519,30,raw_em
21,545,19,raw_em
22,116,53,raw_em
39,78,11,raw_em
39,357,14,raw_em
41,423,18,raw_em
46,142,45,raw_em
62,371,12,raw_em
62,442,28,raw_em
76,42,146,raw_em
90,43,4,raw_em
90,60,16,raw_em
110,65,14,raw_em
110,272,18,raw_em
110,356,43,raw_em
116,124,19,raw_em
120,68,7,raw_em
122,58,36,raw_em
122,65,9,raw_em
122,66,24,raw_em
124,317,31,raw_em
126,6,6,raw_em
130,145,16,raw_em
131,37,50,raw_em
131,38,25,raw_em
131,299,19,raw_em
132,104,24,raw_em
133,156,35,raw_em
133,331,9,raw_em
139,211,23,raw_em
140,402,62,raw_em
143,85,100,raw_em
144,277,17,raw_em
153,146,37,raw_em
154,599,13,raw_em
166,218,84,raw_em
173,378,14,raw_em
173,394,22,raw_em
173,402,31,raw_em
175,23,65,raw_em
176,168,21,raw_em
177,355,9,raw_em
182,544,19,raw_em
186,202,19,raw_em
197,227,24,raw_em
200,57,5,raw_em
202,65,25,raw_em
212,170,10,raw_em
214,36,16,raw_em
214,46,18,raw_em
219,36,24,raw_em
223,203,19,raw_em
224,247,18,raw_em
232,22,67,raw_em
232,378,45,raw_em
233,227,7,raw_em
238,37,41,raw_em
243,21,17,raw_em
245,42,52,raw_em
245,582,35,raw_em
249,388,30,raw_em
250,35,58,raw_em
250,45,108,raw_em
250,275,49,raw_em
251,247,8,raw_em
252,50,20,raw_em
263,67,32,raw_em
265,393,75,raw_em
266,52,16,raw_em
270,58,36,raw_em
271,307,36,raw_em
277,57,37,raw_em
280,51,10,raw_em
285,37,17,raw_em
286,114,31,raw_em
290,307,35,raw_em
313,47,12,raw_em
326,317,13,raw_em
328,51,6,raw_em
330,68,46,raw_em
342,378,25,raw_em
347,285,24,raw_em
351,379,58,raw_em
353,307,23,raw_em
365,80,22,raw_em
366,492,10,raw_em
381,421,18,raw_em
382,21,20,raw_em
382,150,17,raw_em
383,260,18,raw_em
385,358,26,raw_em
389,38,31,raw_em
389,113,34,raw_em
396,388,8,raw_em
400,118,17,raw_em
400,402,7,raw_em
401,395,33,raw_em
406,37,26,raw_em
407,415,26,raw_em
411,46,15,raw_em
411,59,11,raw_em
412,139,80,raw_em
415,402,5,raw_em
422,38,23,raw_em
423,411,11,raw_em
424,65,25,raw_em
425,56,31,raw_em
427,43,16,raw_em
428,530,10,raw_em
431,285,37,raw_em
436,81,28,raw_em
443,530,13,raw_em
444,56,101,raw_em
445,391,26,raw_em
447,52,52,raw_em
450,58,21,raw_em
458,313,9,raw_em
464,52,11,raw_em
482,472,41,raw_em
483,70,14,raw_em
484,62,22,raw_em
495,52,7,raw_em
495,529,10,raw_em
506,2,28,raw_em
510,76,14,raw_em
513,90,42,raw_em
513,503,20,raw_em
515,561,18,raw_em
518,34,16,raw_em
520,47,34,raw_em
522,50,17,raw_em
523,218,64,raw_em
524,78,5,raw_em
524,141,53,raw_em
524,253,64,raw_em
524,486,30,raw_em
531,393,20,raw_em
531,490,40,raw_em
538,52,18,raw_em
538,388,16,raw_em
538,476,17,raw_em
539,57,13,raw_em
544,63,13,raw_em
544,160,18,raw_em
544,298,12,raw_em
554,218,16,raw_em
559,38,27,raw_em
560,243,65,raw_em
562,78,14,raw_em
562,607,9,raw_em
569,543,57,raw_em
571,21,8,raw_em
572,65,23,raw_em
572,157,10,raw_em
574,36,13,raw_em
574,49,20,raw_em
575,243,27,raw_em
577,536,8,raw_em
579,492,22,raw_em
583,481,15,raw_em
588,180,26,raw_em
590,34,25,raw_em
591,36,7,raw_em
591,55,23,raw_em
595,187,8,raw_em
600,76,11,raw_em
601,57,14,raw_em
602,68,8,raw_em
606,68,10,raw_em
606,415,19,raw_em
619,56,21,raw_em
620,220,25,raw_em
621,63,53,raw_em
1,18,15,raw_am
1,35,14,raw_am
1,57,20,raw_am
1,68,14,raw_am
1,212,8,raw_am
1,275,34,raw_am
1,566,20,raw_am
2,223,38,raw_am
2,282,16,raw_am
3,98,7,raw_am
3,247,43,raw_am
3,263,14,raw_am
3,534,28,raw_am
5,65,15,raw_am
14,57,22,raw_am
14,211,14,raw_am
14,221,14,raw_am
14,601,19,raw_am
15,36,30,raw_am
15,37,12,raw_am
15,49,13,raw_am
15,52,16,raw_am
15,54,14,raw_am
15,56,24,raw_am
15,57,14,raw_am
15,60,14,raw_am
15,65,13,raw_am
15,67,14,raw_am
15,69,16,raw_am
15,74,22,raw_am
15,75,26,raw_am
15,107,10,raw_am
15,180,4,raw_am
15,243,14,raw_am
16,44,25,raw_am
16,51,21,raw_am
16,53,7,raw_am
16,54,12,raw_am
16,55,41,raw_am
16,60,21,raw_am
16,65,9,raw_am
16,67,12,raw_am
16,68,55,raw_am
16,89,13,raw_am
16,185,6,raw_am
16,203,18,raw_am
16,256,24,raw_am
16,268,6,raw_am
16,409,46,raw_am
17,5,13,raw_am
17,25,30,raw_am
17,46,19,raw_am
17,49,16,raw_am
17,52,7,raw_am
17,54,21,raw_am
17,56,20,raw_am
17,60,5,raw_am
17,65,18,raw_am
17,66,51,raw_am
17,67,11,raw_am
17,68,5,raw_am
17,69,53,raw_am
17,78,79,raw_am
17,89,17,raw_am
17,90,36,raw_am
17,101,90,raw_am
17,146,22,raw_am
17,168,23,raw_am
17,212,28,raw_am
17,217,21,raw_am
17,222,7,raw_am
17,223,21,raw_am
17,243,23,raw_am
17,262,31,raw_am
17,264,83,raw_am
17,269,30,raw_am
17,271,25,raw_am
17,292,31,raw_am
17,356,17,raw_am
17,452,21,raw_am
17,549,14,raw_am
17,566,30,raw_am
18,22,34,raw_am
18,36,7,raw_am
18,43,7,raw_am
18,55,13,raw_am
18,56,5,raw_am
18,68,10,raw_am
18,116,31,raw_am
18,125,56,raw_am
18,220,11,raw_am
18,274,20,raw_am
18,275,34,raw_am
18,394,21,raw_am
19,53,5,raw_am
19,56,5,raw_am
19,57,3,raw_am
19,93,3,raw_am
19,264,22,raw_am
19,270,15,raw_am
19,314,4,raw_am
19,520,23,raw_am
20,55,3,raw_am
20,212,35,raw_am
21,29,39,raw_am
21,34,18,raw_am
21,36,17,raw_am
21,37,25,raw_am
21,38,16,raw_am
21,42,38,raw_am
21,47,55,raw_am
21,50,30,raw_am
21,51,29,raw_am
21,54,6,raw_am
21,55,51,raw_am
21,57,123,raw_am
21,66,51,raw_am
21,68,44,raw_am
21,69,18,raw_am
21,73,20,raw_am
21,77,19,raw_am
21,78,17,raw_am
21,90,58,raw_am
21,101,269,raw_am
21,180,74,raw_am
21,182,27,raw_am
21,187,41,raw_am
21,201,19,raw_am
21,209,19,raw_am
21,210,5,raw_am
21,218,25,raw_am
21,222,33,raw_am
21,252,28,raw_am
21,259,19,raw_am
21,264,53,raw_am
21,269,19,raw_am
21,270,16,raw_am
21,307,18,raw_am
