gta06,total
1,103
14,464
15,656
16,1053
17,3302
18,2183
19,218
20,125
21,13971
22,3495
23,1342
24,2195
25,2219
26,2451
30,115
34,1569
35,186
36,788
37,1015
38,2139
39,918
40,2324
41,3653
42,3354
43,890
44,695
45,1177
46,3305
47,729
48,1010
49,75
50,800
51,495
53,542
55,20
56,40
57,37
59,473
60,627
61,624
62,1326
63,968
64,1005
65,1510
66,2017
67,1525
68,1071
69,89
70,241
71,3299
72,3127
73,885
74,975
75,398
76,1499
77,859
78,1096
79,3527
80,734
81,87
82,456
84,2716
89,3784
90,4398
91,192
92,730
93,1938
94,1927
95,1592
96,1949
97,1090
98,841
99,5605
100,736
101,2667
102,3664
103,1089
104,161
105,6491
106,734
107,1844
108,484
109,1453
110,10934
113,1331
114,1522
115,1994
116,2373
117,1542
118,690
119,6900
120,1012
122,1436
123,69
124,1229
125,1380
126,610
127,61
128,1418
129,598
130,586
131,2088
132,617
133,2335
134,441
135,42
137,1358
138,1269
139,3031
140,685
142,851
143,3014
144,275
145,2395
147,2794
148,517
149,2500
150,741
151,1496
152,843
153,1807
154,682
155,122
158,1165
160,119
161,1112
162,442
163,615
164,788
165,1001
166,2315
167,1300
169,1671
170,2488
171,1203
172,1114
173,7116
174,753
175,5044
176,1686
177,4271
178,415
179,402
180,19
181,1834
182,2599
183,876
184,1235
185,1166
186,874
187,364
188,2408
189,449
190,53
191,1662
193,826
194,688
195,1379
196,660
197,880
199,309
200,947
201,2471
202,3684
203,1228
204,3026
205,727
209,5782
210,4044
211,9206
212,1634
213,339
214,873
215,31
216,1348
217,700
218,34
219,617
220,205
222,4892
223,4613
224,48
228,243
229,397
230,393
232,1907
233,2636
234,335
235,75
237,65
238,429
239,1005
241,698
242,67
243,874
244,689
245,2937
247,1370
248,819
249,8733
250,3454
251,3564
252,904
253,1141
254,1293
255,999
256,1854
257,1802
258,2457
259,1135
260,164
262,189
263,792
264,1808
265,1210
266,1443
267,888
268,1164
269,1590
270,2558
271,1797
272,443
273,1404
274,521
275,506
276,458
277,744
278,1805
279,1885
280,495
281,3218
282,5351
284,195
285,591
286,1556
287,971
288,314
289,237
290,464
291,1443
293,165
294,838
295,326
297,885
298,413
300,109
301,553
302,93
304,1848
305,470
306,106
307,195
309,36
312,857
313,3768
314,45
317,508
318,137
319,605
320,52
321,132
324,111
325,91
326,371
327,513
328,607
329,45
331,206
332,315
333,344
334,179
336,258
338,78
340,24
341,449
342,1367
345,194
346,1434
347,480
348,30
349,236
350,429
351,416
352,109
353,1096
363,498
364,381
365,692
366,321
368,586
369,707
370,18
371,524
372,58
373,1224
374,209
375,281
376,798
378,17
380,79
381,46
382,159
383,1756
384,19
385,406
389,1042
390,3612
391,347
396,771
397,233
398,1932
399,252
400,1964
401,905
402,245
403,1676
404,795
405,460
406,1593
407,446
408,209
409,1087
410,968
411,1743
412,1462
413,480
414,605
415,252
420,299
422,605
423,762
424,940
425,627
426,671
427,752
428,161
429,38
430,266
431,2490
432,528
433,135
435,717
436,1697
437,31
438,23
439,865
440,182
441,493
442,744
443,2157
444,3344
445,261
446,267
447,393
448,1695
449,341
450,1490
451,211
452,1701
453,26
454,3109
455,499
456,121
457,30
458,42
460,101
461,93
463,1192
464,1006
465,661
466,441
467,2417
469,37
470,375
471,834
472,237
474,27
475,912
476,143
478,837
479,207
480,1308
481,466
482,342
483,3619
484,439
485,617
487,1726
489,74
490,2231
491,1015
492,45
494,1012
496,185
497,1809
499,367
500,904
501,583
502,447
503,82
504,75
505,1723
506,1498
507,414
508,476
509,614
510,213
511,170
512,460
513,480
514,264
515,3045
516,405
517,192
518,878
519,970
520,2456
521,197
522,649
523,1671
524,3639
527,411
528,557
529,59
530,167
531,3047
532,1208
533,405
534,192
535,507
536,1065
537,650
538,5198
539,929
540,284
541,275
542,259
543,851
544,766
545,1183
546,28
548,51
549,1025
550,197
552,3313
554,256
555,234
557,16
558,276
559,1725
560,1142
561,158
562,2333
563,40
566,252
568,488
569,18
570,64
571,154
572,237
573,79
575,367
578,489
579,1539
580,393
582,642
583,539
584,92
585,500
586,1206
587,551
588,679
589,130
590,434
591,270
592,649
593,532
594,537
595,1624
596,48
597,217
599,148
600,178
601,291
602,53
606,182
607,174
608,123
610,8
611,285
613,293
617,26
618,18
619,203
620,760
621,224
622,127
