gta06,total
1,81
5,37
14,180
15,123
16,242
17,1151
18,529
19,149
20,182
21,5355
22,1443
23,1471
24,1662
25,613
26,874
30,100
34,514
36,147
37,563
38,1151
39,424
40,1070
41,1020
42,944
43,275
44,625
45,224
46,1809
47,396
48,473
49,290
50,630
51,673
53,392
55,40
56,40
57,8
59,69
60,99
61,245
62,342
63,256
64,468
65,492
66,823
67,1077
68,660
70,151
71,969
72,740
73,250
74,941
75,467
76,732
77,224
78,162
79,1124
80,86
81,84
82,65
84,613
89,787
90,1363
91,105
92,349
93,1591
94,727
95,635
96,280
97,1623
98,103
99,2386
100,228
101,1240
102,628
103,645
104,930
105,2726
106,511
107,521
108,218
109,1332
110,6297
113,782
114,790
115,435
116,972
117,588
118,201
119,1853
120,773
121,60
122,629
123,217
124,340
125,252
126,254
127,82
128,834
129,628
130,934
131,1427
132,898
133,3021
134,722
135,320
137,1223
138,1221
139,3367
140,1285
142,1023
143,2806
144,646
145,403
146,27
147,1826
148,409
149,1582
150,2708
151,452
152,977
153,2795
154,1613
155,642
157,100
158,1499
160,249
161,422
162,658
163,2066
164,489
165,293
166,716
167,810
168,13
169,800
170,1385
171,1012
172,783
173,2230
174,464
175,1841
176,1173
177,2687
178,334
179,203
180,19
181,1411
182,1805
183,1479
184,1038
185,364
186,268
187,123
188,227
190,27
191,1317
192,195
193,1154
194,846
195,450
196,229
197,153
198,160
200,296
201,271
202,905
203,269
204,416
205,412
206,18
207,11
209,1231
210,819
211,2799
212,551
213,169
214,497
215,62
216,964
217,630
219,251
220,108
222,4502
223,5361
224,20
227,126
228,832
229,488
230,654
231,31
232,1348
233,2387
234,600
235,178
236,11
237,530
238,838
239,1319
241,618
242,198
243,1011
244,881
245,1123
247,1427
248,521
249,5303
250,3704
251,1295
252,492
253,263
254,713
255,315
256,819
257,1264
258,1428
259,931
260,255
261,607
262,290
263,612
264,1038
265,561
266,1063
267,994
268,330
269,729
270,942
271,989
272,434
273,1698
274,156
275,604
276,271
277,238
278,892
279,485
280,121
281,1767
282,2827
283,111
284,183
285,864
286,966
287,1316
288,1223
289,418
290,654
291,766
293,505
294,802
295,622
296,8
297,700
298,719
299,34
300,156
301,861
302,556
304,1281
305,290
306,361
307,305
309,244
312,250
313,1904
314,15
315,198
316,247
317,117
318,326
319,142
321,233
322,167
323,200
324,173
325,609
326,540
327,210
328,1002
329,307
330,25
331,678
332,621
333,497
334,502
335,277
336,1166
337,720
338,127
339,20
340,258
341,528
342,2181
343,114
344,22
345,247
346,1991
347,1043
348,176
349,768
350,1166
351,960
352,222
353,1604
354,137
363,1172
364,697
365,2291
366,914
368,1157
369,102
370,1278
371,1729
372,1443
373,1764
374,1172
375,518
376,2539
377,193
378,9
380,475
381,852
382,1106
383,3395
384,400
385,2225
389,2676
390,3141
391,265
396,1292
397,363
398,1669
399,536
400,3633
401,2037
402,1049
403,2482
404,1024
405,998
406,1247
407,954
408,676
409,987
410,1739
411,2586
412,1650
413,1752
414,1250
415,537
416,45
420,219
422,756
423,462
424,1319
425,602
426,614
427,394
428,1401
429,386
430,606
431,2551
432,523
433,430
434,167
435,608
436,1543
437,365
438,247
439,751
440,493
441,903
442,625
443,2020
444,756
445,549
446,585
447,768
448,892
449,291
450,2532
451,355
452,1876
453,215
454,1317
455,815
456,265
457,469
458,442
459,508
460,667
461,478
462,262
463,749
464,580
465,828
466,346
467,2746
468,416
469,312
470,681
471,2190
472,816
474,213
475,869
476,274
477,676
478,1544
479,339
480,1485
481,614
482,959
483,2271
484,484
485,1565
487,2098
489,25
490,2115
491,1775
492,58
494,1571
495,986
496,360
497,2295
498,327
499,629
500,588
501,866
502,1295
503,973
504,753
505,989
506,1311
507,581
508,196
509,616
510,881
511,286
512,1483
513,524
514,1287
515,1873
516,142
517,950
518,1122
519,385
520,2272
521,986
522,1210
523,2369
524,2483
527,320
528,431
529,174
530,270
531,3309
532,2243
533,625
534,853
535,1391
536,2333
537,1359
538,3236
539,423
540,235
541,678
542,449
543,1109
544,868
545,1667
546,224
547,156
548,488
549,1550
550,299
551,156
552,2107
553,323
554,581
555,572
557,460
558,741
559,2008
560,1782
561,448
562,2210
563,1012
564,175
565,567
567,477
568,2091
569,401
570,940
571,745
572,1686
573,338
574,462
575,653
577,66
578,991
579,1560
580,549
581,550
582,1511
583,913
584,842
585,1243
586,1637
587,1562
588,1394
589,99
590,2476
591,2397
592,2935
593,1129
594,1022
595,2282
596,585
597,992
599,278
600,3458
601,2563
602,337
603,408
606,1929
607,558
608,1435
610,4
611,529
612,21
613,1228
614,193
617,2165
618,908
619,2267
620,2887
621,1848
622,415
624,538
